"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",95.2424105120073
"2",2011,"non_critical","MC","Low",99.3264840182648
"3",2011,"critical","MC","Low",99.3264840182648
"4",2012,"non_critical","MC","Low",99.6129326047359
"5",2012,"critical","MC","Low",99.6129326047359
"6",2013,"non_critical","MC","Low",99.9086757990868
"7",2013,"critical","MC","Low",99.9086757990868
"8",2014,"non_critical","MC","Low",99.5433789954338
"9",2014,"critical","MC","Low",99.5433789954338
"10",2015,"non_critical","MC","Low",99.9543378995434
"11",2015,"critical","MC","Low",99.9543378995434
"12",2016,"non_critical","MC","Low",99.4307832422586
"13",2016,"critical","MC","Low",99.4307832422586
"14",2017,"non_critical","MC","Low",98.8553113553114
"15",2017,"critical","MC","Low",98.8553113553114
"16",2010,"non_critical","MC","Medium",94.5174444947893
"17",2011,"non_critical","MC","Medium",99.1324200913242
"18",2011,"critical","MC","Medium",99.1324200913242
"19",2012,"non_critical","MC","Medium",99.4877049180328
"20",2012,"critical","MC","Medium",99.4877049180328
"21",2013,"non_critical","MC","Medium",99.851598173516
"22",2013,"critical","MC","Medium",99.851598173516
"23",2014,"non_critical","MC","Medium",99.3949771689498
"24",2014,"critical","MC","Medium",99.3949771689498
"25",2015,"non_critical","MC","Medium",99.8744292237443
"26",2015,"critical","MC","Medium",99.8744292237443
"27",2016,"non_critical","MC","Medium",99.2600182149363
"28",2016,"critical","MC","Medium",99.2600182149363
"29",2017,"non_critical","MC","Medium",98.5958485958486
"30",2017,"critical","MC","Medium",98.5958485958486
"31",2010,"non_critical","MC","High",14.4993203443589
"32",2011,"non_critical","MC","High",6.39269406392694
"33",2011,"critical","MC","High",6.39269406392694
"34",2012,"non_critical","MC","High",4.49681238615665
"35",2012,"critical","MC","High",4.49681238615665
"36",2013,"non_critical","MC","High",2.34018264840183
"37",2013,"critical","MC","High",2.34018264840183
"38",2014,"non_critical","MC","High",2.47716894977169
"39",2014,"critical","MC","High",2.47716894977169
"40",2015,"non_critical","MC","High",2.36301369863014
"41",2015,"critical","MC","High",2.36301369863014
"42",2016,"non_critical","MC","High",3.7568306010929
"43",2016,"critical","MC","High",3.7568306010929
"44",2017,"non_critical","MC","High",5.03663003663004
"45",2017,"critical","MC","High",5.03663003663004
"46",2010,"non_critical","MC","Low.Seasonal",95.2424105120073
"47",2011,"non_critical","MC","Low.Seasonal",98.6492673992674
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",99.4307832422586
"50",2012,"critical","MC","Low.Seasonal",99.7950819672131
"51",2013,"non_critical","MC","Low.Seasonal",99.8168498168498
"52",2013,"critical","MC","Low.Seasonal",100
"53",2014,"non_critical","MC","Low.Seasonal",99.0842490842491
"54",2014,"critical","MC","Low.Seasonal",100
"55",2015,"non_critical","MC","Low.Seasonal",99.9542124542125
"56",2015,"critical","MC","Low.Seasonal",99.9544626593807
"57",2016,"non_critical","MC","Low.Seasonal",98.8615664845173
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",96.5277777777778
"60",2017,"critical","MC","Low.Seasonal",100
"61",2010,"non_critical","MC","Medium.Seasonal",94.5174444947893
"62",2011,"non_critical","MC","Medium.Seasonal",98.2600732600733
"63",2011,"critical","MC","Medium.Seasonal",100
"64",2012,"non_critical","MC","Medium.Seasonal",99.2714025500911
"65",2012,"critical","MC","Medium.Seasonal",99.7040072859745
"66",2013,"non_critical","MC","Medium.Seasonal",99.7023809523809
"67",2013,"critical","MC","Medium.Seasonal",100
"68",2014,"non_critical","MC","Medium.Seasonal",98.78663003663
"69",2014,"critical","MC","Medium.Seasonal",100
"70",2015,"non_critical","MC","Medium.Seasonal",99.8168498168498
"71",2015,"critical","MC","Medium.Seasonal",99.931693989071
"72",2016,"non_critical","MC","Medium.Seasonal",98.5200364298725
"73",2016,"critical","MC","Medium.Seasonal",100
"74",2017,"non_critical","MC","Medium.Seasonal",95.7407407407407
"75",2017,"critical","MC","Medium.Seasonal",100
"76",2010,"non_critical","MC","High.Seasonal",14.4993203443589
"77",2011,"non_critical","MC","High.Seasonal",11.3553113553114
"78",2011,"critical","MC","High.Seasonal",1.45719489981785
"79",2012,"non_critical","MC","High.Seasonal",7.69581056466302
"80",2012,"critical","MC","High.Seasonal",1.29781420765027
"81",2013,"non_critical","MC","High.Seasonal",3.98351648351648
"82",2013,"critical","MC","High.Seasonal",0.705828779599271
"83",2014,"non_critical","MC","High.Seasonal",4.62454212454212
"84",2014,"critical","MC","High.Seasonal",0.341530054644809
"85",2015,"non_critical","MC","High.Seasonal",3.59432234432234
"86",2015,"critical","MC","High.Seasonal",1.1384335154827
"87",2016,"non_critical","MC","High.Seasonal",6.4207650273224
"88",2016,"critical","MC","High.Seasonal",1.09289617486339
"89",2017,"non_critical","MC","High.Seasonal",14.1666666666667
"90",2017,"critical","MC","High.Seasonal",0.546448087431694
