"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",99.8187584956955
"2",2011,"non_critical","MC","Low",100
"3",2011,"critical","MC","Low",100
"4",2012,"non_critical","MC","Low",100
"5",2012,"critical","MC","Low",100
"6",2013,"non_critical","MC","Low",100
"7",2013,"critical","MC","Low",100
"8",2014,"non_critical","MC","Low",100
"9",2014,"critical","MC","Low",100
"10",2015,"non_critical","MC","Low",100
"11",2015,"critical","MC","Low",100
"12",2016,"non_critical","MC","Low",99.9544626593807
"13",2016,"critical","MC","Low",99.9544626593807
"14",2017,"non_critical","MC","Low",99.9236874236874
"15",2017,"critical","MC","Low",99.9236874236874
"16",2010,"non_critical","LOB","Low",0
"17",2011,"non_critical","LOB","Low",0
"18",2011,"critical","LOB","Low",0
"19",2012,"non_critical","LOB","Low",0
"20",2012,"critical","LOB","Low",0
"21",2013,"non_critical","LOB","Low",0
"22",2013,"critical","LOB","Low",0
"23",2014,"non_critical","LOB","Low",0
"24",2014,"critical","LOB","Low",0
"25",2015,"non_critical","LOB","Low",0
"26",2015,"critical","LOB","Low",0
"27",2016,"non_critical","LOB","Low",0
"28",2016,"critical","LOB","Low",0
"29",2017,"non_critical","LOB","Low",0
"30",2017,"critical","LOB","Low",0
"31",2010,"non_critical","ROB","Low",0
"32",2011,"non_critical","ROB","Low",0
"33",2011,"critical","ROB","Low",0
"34",2012,"non_critical","ROB","Low",0
"35",2012,"critical","ROB","Low",0
"36",2013,"non_critical","ROB","Low",0
"37",2013,"critical","ROB","Low",0
"38",2014,"non_critical","ROB","Low",0
"39",2014,"critical","ROB","Low",0
"40",2015,"non_critical","ROB","Low",0
"41",2015,"critical","ROB","Low",0
"42",2016,"non_critical","ROB","Low",0
"43",2016,"critical","ROB","Low",0
"44",2017,"non_critical","ROB","Low",0
"45",2017,"critical","ROB","Low",0
"46",2010,"non_critical","MC","Medium",95.1064793837789
"47",2011,"non_critical","MC","Medium",99.2237442922374
"48",2011,"critical","MC","Medium",99.2237442922374
"49",2012,"non_critical","MC","Medium",99.5673952641166
"50",2012,"critical","MC","Medium",99.5673952641166
"51",2013,"non_critical","MC","Medium",99.8287671232877
"52",2013,"critical","MC","Medium",99.8287671232877
"53",2014,"non_critical","MC","Medium",99.5890410958904
"54",2014,"critical","MC","Medium",99.5890410958904
"55",2015,"non_critical","MC","Medium",99.8972602739726
"56",2015,"critical","MC","Medium",99.8972602739726
"57",2016,"non_critical","MC","Medium",99.5787795992714
"58",2016,"critical","MC","Medium",99.5787795992714
"59",2017,"non_critical","MC","Medium",99.3284493284493
"60",2017,"critical","MC","Medium",99.3284493284493
"61",2010,"non_critical","LOB","Medium",99.4109651110104
"62",2011,"non_critical","LOB","Medium",100
"63",2011,"critical","LOB","Medium",100
"64",2012,"non_critical","LOB","Medium",100
"65",2012,"critical","LOB","Medium",100
"66",2013,"non_critical","LOB","Medium",100
"67",2013,"critical","LOB","Medium",100
"68",2014,"non_critical","LOB","Medium",100
"69",2014,"critical","LOB","Medium",100
"70",2015,"non_critical","LOB","Medium",99.9771689497717
"71",2015,"critical","LOB","Medium",99.9771689497717
"72",2016,"non_critical","LOB","Medium",99.931693989071
"73",2016,"critical","LOB","Medium",99.931693989071
"74",2017,"non_critical","LOB","Medium",99.8931623931624
"75",2017,"critical","LOB","Medium",99.8931623931624
"76",2010,"non_critical","ROB","Medium",99.1391028545537
"77",2011,"non_critical","ROB","Medium",99.9200913242009
"78",2011,"critical","ROB","Medium",99.9200913242009
"79",2012,"non_critical","ROB","Medium",99.9658469945355
"80",2012,"critical","ROB","Medium",99.9658469945355
"81",2013,"non_critical","ROB","Medium",100
"82",2013,"critical","ROB","Medium",100
"83",2014,"non_critical","ROB","Medium",100
"84",2014,"critical","ROB","Medium",100
"85",2015,"non_critical","ROB","Medium",99.9429223744292
"86",2015,"critical","ROB","Medium",99.9429223744292
"87",2016,"non_critical","ROB","Medium",99.8633879781421
"88",2016,"critical","ROB","Medium",99.8633879781421
"89",2017,"non_critical","ROB","Medium",99.8015873015873
"90",2017,"critical","ROB","Medium",99.8015873015873
"91",2010,"non_critical","MC","High",49.252378794744
"92",2011,"non_critical","MC","High",74.5319634703196
"93",2011,"critical","MC","High",74.5319634703196
"94",2012,"non_critical","MC","High",98.3720400728597
"95",2012,"critical","MC","High",98.3720400728597
"96",2013,"non_critical","MC","High",99.1438356164384
"97",2013,"critical","MC","High",99.1438356164384
"98",2014,"non_critical","MC","High",98.6986301369863
"99",2014,"critical","MC","High",98.6986301369863
"100",2015,"non_critical","MC","High",98.9954337899543
"101",2015,"critical","MC","High",98.9954337899543
"102",2016,"non_critical","MC","High",98.3151183970856
"103",2016,"critical","MC","High",98.3151183970856
"104",2017,"non_critical","MC","High",82.493894993895
"105",2017,"critical","MC","High",82.493894993895
"106",2010,"non_critical","LOB","High",60.081558676937
"107",2011,"non_critical","LOB","High",35.7077625570776
"108",2011,"critical","LOB","High",35.7077625570776
"109",2012,"non_critical","LOB","High",4.15528233151184
"110",2012,"critical","LOB","High",4.15528233151184
"111",2013,"non_critical","LOB","High",1.58675799086758
"112",2013,"critical","LOB","High",1.58675799086758
"113",2014,"non_critical","LOB","High",1.74657534246575
"114",2014,"critical","LOB","High",1.74657534246575
"115",2015,"non_critical","LOB","High",7.15753424657534
"116",2015,"critical","LOB","High",7.15753424657534
"117",2016,"non_critical","LOB","High",2.27686703096539
"118",2016,"critical","LOB","High",2.27686703096539
"119",2017,"non_critical","LOB","High",19.6428571428571
"120",2017,"critical","LOB","High",19.6428571428571
"121",2010,"non_critical","ROB","High",50.6570004531038
"122",2011,"non_critical","ROB","High",75.1369863013699
"123",2011,"critical","ROB","High",75.1369863013699
"124",2012,"non_critical","ROB","High",98.3948087431694
"125",2012,"critical","ROB","High",98.3948087431694
"126",2013,"non_critical","ROB","High",99.189497716895
"127",2013,"critical","ROB","High",99.189497716895
"128",2014,"non_critical","ROB","High",98.7671232876712
"129",2014,"critical","ROB","High",98.7671232876712
"130",2015,"non_critical","ROB","High",99.041095890411
"131",2015,"critical","ROB","High",99.041095890411
"132",2016,"non_critical","ROB","High",98.3492714025501
"133",2016,"critical","ROB","High",98.3492714025501
"134",2017,"non_critical","ROB","High",82.6159951159951
"135",2017,"critical","ROB","High",82.6159951159951
"136",2010,"non_critical","MC","Low.Seasonal",99.8187584956955
"137",2011,"non_critical","MC","Low.Seasonal",100
"138",2011,"critical","MC","Low.Seasonal",100
"139",2012,"non_critical","MC","Low.Seasonal",100
"140",2012,"critical","MC","Low.Seasonal",100
"141",2013,"non_critical","MC","Low.Seasonal",100
"142",2013,"critical","MC","Low.Seasonal",100
"143",2014,"non_critical","MC","Low.Seasonal",100
"144",2014,"critical","MC","Low.Seasonal",100
"145",2015,"non_critical","MC","Low.Seasonal",100
"146",2015,"critical","MC","Low.Seasonal",100
"147",2016,"non_critical","MC","Low.Seasonal",99.9089253187614
"148",2016,"critical","MC","Low.Seasonal",100
"149",2017,"non_critical","MC","Low.Seasonal",99.7685185185185
"150",2017,"critical","MC","Low.Seasonal",100
"151",2010,"non_critical","LOB","Low.Seasonal",0
"152",2011,"non_critical","LOB","Low.Seasonal",0
"153",2011,"critical","LOB","Low.Seasonal",0
"154",2012,"non_critical","LOB","Low.Seasonal",0
"155",2012,"critical","LOB","Low.Seasonal",0
"156",2013,"non_critical","LOB","Low.Seasonal",0
"157",2013,"critical","LOB","Low.Seasonal",0
"158",2014,"non_critical","LOB","Low.Seasonal",0
"159",2014,"critical","LOB","Low.Seasonal",0
"160",2015,"non_critical","LOB","Low.Seasonal",0
"161",2015,"critical","LOB","Low.Seasonal",0
"162",2016,"non_critical","LOB","Low.Seasonal",0
"163",2016,"critical","LOB","Low.Seasonal",0
"164",2017,"non_critical","LOB","Low.Seasonal",0
"165",2017,"critical","LOB","Low.Seasonal",0
"166",2010,"non_critical","ROB","Low.Seasonal",0
"167",2011,"non_critical","ROB","Low.Seasonal",0
"168",2011,"critical","ROB","Low.Seasonal",0
"169",2012,"non_critical","ROB","Low.Seasonal",0
"170",2012,"critical","ROB","Low.Seasonal",0
"171",2013,"non_critical","ROB","Low.Seasonal",0
"172",2013,"critical","ROB","Low.Seasonal",0
"173",2014,"non_critical","ROB","Low.Seasonal",0
"174",2014,"critical","ROB","Low.Seasonal",0
"175",2015,"non_critical","ROB","Low.Seasonal",0
"176",2015,"critical","ROB","Low.Seasonal",0
