"","month_year","year","month","season","position","Probability_Threshold","n_days"
"1",2011-01-01,2011,1,"non_critical","MC","Low",32
"2",2012-01-01,2012,1,"non_critical","MC","Low",32
"3",2013-01-01,2013,1,"non_critical","MC","Low",32
"4",2014-01-01,2014,1,"non_critical","MC","Low",31
"5",2015-01-01,2015,1,"non_critical","MC","Low",31
"6",2016-01-01,2016,1,"non_critical","MC","Low",32
"7",2017-01-01,2017,1,"non_critical","MC","Low",30
"8",2011-02-01,2011,2,"non_critical","MC","Low",28
"9",2012-02-01,2012,2,"non_critical","MC","Low",29
"10",2013-02-01,2013,2,"non_critical","MC","Low",28
"11",2014-02-01,2014,2,"non_critical","MC","Low",31
"12",2015-02-01,2015,2,"non_critical","MC","Low",28
"13",2016-02-01,2016,2,"non_critical","MC","Low",29
"14",2017-02-01,2017,2,"non_critical","MC","Low",31
"15",2011-03-01,2011,3,"non_critical","MC","Low",33
"16",2012-03-01,2012,3,"non_critical","MC","Low",32
"17",2013-03-01,2013,3,"non_critical","MC","Low",32
"18",2014-03-01,2014,3,"non_critical","MC","Low",32
"19",2015-03-01,2015,3,"non_critical","MC","Low",31
"20",2016-03-01,2016,3,"non_critical","MC","Low",31
"21",2017-03-01,2017,3,"non_critical","MC","Low",31
"22",2011-04-01,2011,4,"critical","MC","Low",30
"23",2012-04-01,2012,4,"critical","MC","Low",34
"24",2013-04-01,2013,4,"critical","MC","Low",30
"25",2014-04-01,2014,4,"critical","MC","Low",30
"26",2015-04-01,2015,4,"critical","MC","Low",30
"27",2016-04-01,2016,4,"critical","MC","Low",30
"28",2017-04-01,2017,4,"critical","MC","Low",30
"29",2011-05-01,2011,5,"critical","MC","Low",31
"30",2012-05-01,2012,5,"critical","MC","Low",31
"31",2013-05-01,2013,5,"critical","MC","Low",32
"32",2014-05-01,2014,5,"critical","MC","Low",31
"33",2015-05-01,2015,5,"critical","MC","Low",31
"34",2016-05-01,2016,5,"critical","MC","Low",31
"35",2017-05-01,2017,5,"critical","MC","Low",32
"36",2011-06-01,2011,6,"critical","MC","Low",30
"37",2012-06-01,2012,6,"critical","MC","Low",30
"38",2013-06-01,2013,6,"critical","MC","Low",30
"39",2014-06-01,2014,6,"critical","MC","Low",30
"40",2015-06-01,2015,6,"critical","MC","Low",30
"41",2016-06-01,2016,6,"critical","MC","Low",30
"42",2017-06-01,2017,6,"critical","MC","Low",30
"43",2011-07-01,2011,7,"critical","MC","Low",31
"44",2012-07-01,2012,7,"critical","MC","Low",31
"45",2013-07-01,2013,7,"critical","MC","Low",31
"46",2014-07-01,2014,7,"critical","MC","Low",31
"47",2015-07-01,2015,7,"critical","MC","Low",31
"48",2016-07-01,2016,7,"critical","MC","Low",31
