"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",99.8640688717716
"2",2011,"non_critical","MC","Low",99.8401826484018
"3",2011,"critical","MC","Low",99.8401826484018
"4",2012,"non_critical","MC","Low",99.9430783242259
"5",2012,"critical","MC","Low",99.9430783242259
"6",2013,"non_critical","MC","Low",100
"7",2013,"critical","MC","Low",100
"8",2014,"non_critical","MC","Low",99.8858447488584
"9",2014,"critical","MC","Low",99.8858447488584
"10",2015,"non_critical","MC","Low",100
"11",2015,"critical","MC","Low",100
"12",2016,"non_critical","MC","Low",99.8747723132969
"13",2016,"critical","MC","Low",99.8747723132969
"14",2017,"non_critical","MC","Low",99.8015873015873
"15",2017,"critical","MC","Low",99.8015873015873
"16",2010,"non_critical","MC","Medium",13.8649750792932
"17",2011,"non_critical","MC","Medium",4.8972602739726
"18",2011,"critical","MC","Medium",4.8972602739726
"19",2012,"non_critical","MC","Medium",2.40209471766849
"20",2012,"critical","MC","Medium",2.40209471766849
"21",2013,"non_critical","MC","Medium",1.27853881278539
"22",2013,"critical","MC","Medium",1.27853881278539
"23",2014,"non_critical","MC","Medium",1.57534246575342
"24",2014,"critical","MC","Medium",1.57534246575342
"25",2015,"non_critical","MC","Medium",1.41552511415525
"26",2015,"critical","MC","Medium",1.41552511415525
"27",2016,"non_critical","MC","Medium",1.9011839708561
"28",2016,"critical","MC","Medium",1.9011839708561
"29",2017,"non_critical","MC","Medium",3.78510378510378
"30",2017,"critical","MC","Medium",3.78510378510378
"31",2010,"non_critical","MC","High",5.21069324875397
"32",2011,"non_critical","MC","High",0.981735159817352
"33",2011,"critical","MC","High",0.981735159817352
"34",2012,"non_critical","MC","High",0.78551912568306
"35",2012,"critical","MC","High",0.78551912568306
"36",2013,"non_critical","MC","High",0.331050228310502
"37",2013,"critical","MC","High",0.331050228310502
"38",2014,"non_critical","MC","High",0.525114155251142
"39",2014,"critical","MC","High",0.525114155251142
"40",2015,"non_critical","MC","High",0.365296803652968
"41",2015,"critical","MC","High",0.365296803652968
"42",2016,"non_critical","MC","High",0.694444444444444
"43",2016,"critical","MC","High",0.694444444444444
"44",2017,"non_critical","MC","High",1.17521367521368
"45",2017,"critical","MC","High",1.17521367521368
"46",2010,"non_critical","MC","Low.Seasonal",99.8640688717716
"47",2011,"non_critical","MC","Low.Seasonal",99.6794871794872
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",99.931693989071
"50",2012,"critical","MC","Low.Seasonal",99.9544626593807
"51",2013,"non_critical","MC","Low.Seasonal",100
"52",2013,"critical","MC","Low.Seasonal",100
"53",2014,"non_critical","MC","Low.Seasonal",99.7710622710623
"54",2014,"critical","MC","Low.Seasonal",100
"55",2015,"non_critical","MC","Low.Seasonal",100
"56",2015,"critical","MC","Low.Seasonal",100
"57",2016,"non_critical","MC","Low.Seasonal",99.7495446265938
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",99.3981481481482
"60",2017,"critical","MC","Low.Seasonal",100
"61",2010,"non_critical","MC","Medium.Seasonal",13.8649750792932
"62",2011,"non_critical","MC","Medium.Seasonal",8.76831501831502
"63",2011,"critical","MC","Medium.Seasonal",1.04735883424408
"64",2012,"non_critical","MC","Medium.Seasonal",4.0528233151184
"65",2012,"critical","MC","Medium.Seasonal",0.751366120218579
"66",2013,"non_critical","MC","Medium.Seasonal",2.17490842490842
"67",2013,"critical","MC","Medium.Seasonal",0.387067395264117
"68",2014,"non_critical","MC","Medium.Seasonal",3.04487179487179
"69",2014,"critical","MC","Medium.Seasonal",0.11384335154827
"70",2015,"non_critical","MC","Medium.Seasonal",2.47252747252747
"71",2015,"critical","MC","Medium.Seasonal",0.364298724954463
"72",2016,"non_critical","MC","Medium.Seasonal",3.23315118397086
"73",2016,"critical","MC","Medium.Seasonal",0.569216757741348
"74",2017,"non_critical","MC","Medium.Seasonal",11.1111111111111
"75",2017,"critical","MC","Medium.Seasonal",0.182149362477231
"76",2010,"non_critical","MC","High.Seasonal",5.21069324875397
"77",2011,"non_critical","MC","High.Seasonal",1.90018315018315
"78",2011,"critical","MC","High.Seasonal",0.0683060109289618
"79",2012,"non_critical","MC","High.Seasonal",1.25227686703097
"80",2012,"critical","MC","High.Seasonal",0.318761384335155
"81",2013,"non_critical","MC","High.Seasonal",0.549450549450549
"82",2013,"critical","MC","High.Seasonal",0.11384335154827
"83",2014,"non_critical","MC","High.Seasonal",1.03021978021978
"84",2014,"critical","MC","High.Seasonal",0.0227686703096539
"85",2015,"non_critical","MC","High.Seasonal",0.686813186813187
"86",2015,"critical","MC","High.Seasonal",0.0455373406193078
"87",2016,"non_critical","MC","High.Seasonal",1.34335154826958
"88",2016,"critical","MC","High.Seasonal",0.0455373406193078
"89",2017,"non_critical","MC","High.Seasonal",3.56481481481481
"90",2017,"critical","MC","High.Seasonal",0
