"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",99.8187584956955
"2",2011,"non_critical","MC","Low",100
"3",2011,"critical","MC","Low",100
"4",2012,"non_critical","MC","Low",100
"5",2012,"critical","MC","Low",100
"6",2013,"non_critical","MC","Low",100
"7",2013,"critical","MC","Low",100
"8",2014,"non_critical","MC","Low",100
"9",2014,"critical","MC","Low",100
"10",2015,"non_critical","MC","Low",100
"11",2015,"critical","MC","Low",100
"12",2016,"non_critical","MC","Low",100
"13",2016,"critical","MC","Low",100
"14",2017,"non_critical","MC","Low",99.8473748473749
"15",2017,"critical","MC","Low",99.8473748473749
"16",2010,"non_critical","MC","Medium",97.5079293158133
"17",2011,"non_critical","MC","Medium",99.9086757990868
"18",2011,"critical","MC","Medium",99.9086757990868
"19",2012,"non_critical","MC","Medium",99.9886156648452
"20",2012,"critical","MC","Medium",99.9886156648452
"21",2013,"non_critical","MC","Medium",100
"22",2013,"critical","MC","Medium",100
"23",2014,"non_critical","MC","Medium",99.7945205479452
"24",2014,"critical","MC","Medium",99.7945205479452
"25",2015,"non_critical","MC","Medium",100
"26",2015,"critical","MC","Medium",100
"27",2016,"non_critical","MC","Medium",99.8178506375228
"28",2016,"critical","MC","Medium",99.8178506375228
"29",2017,"non_critical","MC","Medium",99.4200244200244
"30",2017,"critical","MC","Medium",99.4200244200244
"31",2010,"non_critical","MC","High",81.1055731762574
"32",2011,"non_critical","MC","High",94.1780821917808
"33",2011,"critical","MC","High",94.1780821917808
"34",2012,"non_critical","MC","High",94.6265938069217
"35",2012,"critical","MC","High",94.6265938069217
"36",2013,"non_critical","MC","High",97.1917808219178
"37",2013,"critical","MC","High",97.1917808219178
"38",2014,"non_critical","MC","High",96.2328767123288
"39",2014,"critical","MC","High",96.2328767123288
"40",2015,"non_critical","MC","High",96.9520547945205
"41",2015,"critical","MC","High",96.9520547945205
"42",2016,"non_critical","MC","High",94.6265938069217
"43",2016,"critical","MC","High",94.6265938069217
"44",2017,"non_critical","MC","High",92.6587301587302
"45",2017,"critical","MC","High",92.6587301587302
"46",2010,"non_critical","MC","Low.Seasonal",99.8187584956955
"47",2011,"non_critical","MC","Low.Seasonal",100
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",100
"50",2012,"critical","MC","Low.Seasonal",100
"51",2013,"non_critical","MC","Low.Seasonal",100
"52",2013,"critical","MC","Low.Seasonal",100
"53",2014,"non_critical","MC","Low.Seasonal",100
"54",2014,"critical","MC","Low.Seasonal",100
"55",2015,"non_critical","MC","Low.Seasonal",100
"56",2015,"critical","MC","Low.Seasonal",100
"57",2016,"non_critical","MC","Low.Seasonal",100
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",99.537037037037
"60",2017,"critical","MC","Low.Seasonal",100
"61",2010,"non_critical","MC","Medium.Seasonal",97.5079293158133
"62",2011,"non_critical","MC","Medium.Seasonal",99.8168498168498
"63",2011,"critical","MC","Medium.Seasonal",100
"64",2012,"non_critical","MC","Medium.Seasonal",99.9772313296903
"65",2012,"critical","MC","Medium.Seasonal",100
"66",2013,"non_critical","MC","Medium.Seasonal",100
"67",2013,"critical","MC","Medium.Seasonal",100
"68",2014,"non_critical","MC","Medium.Seasonal",99.5879120879121
"69",2014,"critical","MC","Medium.Seasonal",100
"70",2015,"non_critical","MC","Medium.Seasonal",100
"71",2015,"critical","MC","Medium.Seasonal",100
"72",2016,"non_critical","MC","Medium.Seasonal",99.6357012750455
"73",2016,"critical","MC","Medium.Seasonal",100
"74",2017,"non_critical","MC","Medium.Seasonal",98.2407407407407
"75",2017,"critical","MC","Medium.Seasonal",100
"76",2010,"non_critical","MC","High.Seasonal",81.1055731762574
"77",2011,"non_critical","MC","High.Seasonal",89.2399267399267
"78",2011,"critical","MC","High.Seasonal",99.0892531876138
"79",2012,"non_critical","MC","High.Seasonal",91.4162112932605
"80",2012,"critical","MC","High.Seasonal",97.8369763205829
"81",2013,"non_critical","MC","High.Seasonal",95.1236263736264
"82",2013,"critical","MC","High.Seasonal",99.2486338797814
"83",2014,"non_critical","MC","High.Seasonal",92.9029304029304
"84",2014,"critical","MC","High.Seasonal",99.5446265938069
"85",2015,"non_critical","MC","High.Seasonal",95.5586080586081
"86",2015,"critical","MC","High.Seasonal",98.3378870673953
"87",2016,"non_critical","MC","High.Seasonal",89.9817850637523
"88",2016,"critical","MC","High.Seasonal",99.2714025500911
"89",2017,"non_critical","MC","High.Seasonal",79.4907407407407
"90",2017,"critical","MC","High.Seasonal",99.1347905282332
