"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"MC",32,32,5
"2",1,2012,"MC",32,33,29
"3",1,2013,"MC",32,32,23
"4",1,2014,"MC",31,31,30
"5",1,2015,"MC",31,31,31
"6",1,2016,"MC",32,30,33
"7",1,2017,"MC",30,28,22
"8",2,2011,"MC",28,29,29
"9",2,2012,"MC",29,29,26
"10",2,2013,"MC",28,29,22
"11",2,2014,"MC",31,29,16
"12",2,2015,"MC",28,28,29
"13",2,2016,"MC",29,29,30
"14",2,2017,"MC",31,29,9
"15",3,2011,"MC",33,33,25
"16",3,2012,"MC",32,30,14
"17",3,2013,"MC",32,33,19
"18",3,2014,"MC",32,33,28
"19",3,2015,"MC",31,31,32
"20",3,2016,"MC",31,31,34
"21",3,2017,"MC",31,31,31
"22",4,2011,"MC",30,30,30
"23",4,2012,"MC",34,30,1
"24",4,2013,"MC",30,30,27
"25",4,2014,"MC",30,32,22
"26",4,2015,"MC",30,30,29
"27",4,2016,"MC",30,30,31
"28",4,2017,"MC",30,30,31
"29",5,2011,"MC",31,32,33
"30",5,2012,"MC",31,31,14
"31",5,2013,"MC",32,33,13
"32",5,2014,"MC",31,31,30
"33",5,2015,"MC",31,31,31
"34",5,2016,"MC",31,31,31
"35",5,2017,"MC",32,32,32
"36",6,2011,"MC",30,30,30
"37",6,2012,"MC",30,30,23
"38",6,2013,"MC",30,30,30
"39",6,2014,"MC",30,30,30
"40",6,2015,"MC",30,30,32
"41",6,2016,"MC",30,30,30
"42",6,2017,"MC",30,30,30
"43",7,2011,"MC",31,31,31
"44",7,2012,"MC",31,31,31
"45",7,2013,"MC",31,31,28
"46",7,2014,"MC",31,31,31
"47",7,2015,"MC",31,31,31
"48",7,2016,"MC",31,31,31
"49",7,2017,"MC",31,31,31
"50",8,2011,"MC",31,31,31
"51",8,2012,"MC",31,31,31
"52",8,2013,"MC",31,31,31
"53",8,2014,"MC",31,31,31
"54",8,2015,"MC",31,31,31
"55",8,2016,"MC",31,31,31
"56",8,2017,"MC",31,31,28
"57",9,2011,"MC",30,30,30
"58",9,2012,"MC",30,30,20
"59",9,2013,"MC",30,30,36
"60",9,2014,"MC",30,30,31
"61",9,2015,"MC",31,31,28
"62",9,2016,"MC",30,30,30
"63",9,2017,"MC",30,30,30
"64",10,2010,"MC",32,32,15
"65",10,2011,"MC",33,33,4
"66",10,2012,"MC",32,32,13
"67",10,2013,"MC",31,31,31
"68",10,2014,"MC",31,31,31
"69",10,2015,"MC",31,31,32
"70",10,2016,"MC",31,31,30
"71",11,2010,"MC",32,33,0
"72",11,2011,"MC",32,31,23
"73",11,2012,"MC",31,30,20
"74",11,2013,"MC",32,32,31
"75",11,2014,"MC",31,31,18
"76",11,2015,"MC",30,30,30
"77",11,2016,"MC",30,30,27
"78",12,2010,"MC",34,29,2
"79",12,2011,"MC",33,33,32
"80",12,2012,"MC",35,36,0
"81",12,2013,"MC",32,33,29
"82",12,2014,"MC",35,34,28
"83",12,2015,"MC",31,31,31
"84",12,2016,"MC",32,29,23
