"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",0
"2",2011,"non_critical","MC","Low",0.0114155251141553
"3",2011,"critical","MC","Low",0.0114155251141553
"4",2012,"non_critical","MC","Low",0
"5",2012,"critical","MC","Low",0
"6",2013,"non_critical","MC","Low",0
"7",2013,"critical","MC","Low",0
"8",2014,"non_critical","MC","Low",0
"9",2014,"critical","MC","Low",0
"10",2015,"non_critical","MC","Low",0.045662100456621
"11",2015,"critical","MC","Low",0.045662100456621
"12",2016,"non_critical","MC","Low",0
"13",2016,"critical","MC","Low",0
"14",2017,"non_critical","MC","Low",0
"15",2017,"critical","MC","Low",0
"16",2010,"non_critical","LOB","Low",84.8210240144993
"17",2011,"non_critical","LOB","Low",94.9429223744292
"18",2011,"critical","LOB","Low",94.9429223744292
"19",2012,"non_critical","LOB","Low",97.2222222222222
"20",2012,"critical","LOB","Low",97.2222222222222
"21",2013,"non_critical","LOB","Low",98.6529680365297
"22",2013,"critical","LOB","Low",98.6529680365297
"23",2014,"non_critical","LOB","Low",98.0936073059361
"24",2014,"critical","LOB","Low",98.0936073059361
"25",2015,"non_critical","LOB","Low",98.3904109589041
"26",2015,"critical","LOB","Low",98.3904109589041
"27",2016,"non_critical","LOB","Low",97.5865209471767
"28",2016,"critical","LOB","Low",97.5865209471767
"29",2017,"non_critical","LOB","Low",95.6349206349206
"30",2017,"critical","LOB","Low",95.6349206349206
"31",2010,"non_critical","ROB","Low",85.5459900317173
"32",2011,"non_critical","ROB","Low",95.4680365296804
"33",2011,"critical","ROB","Low",95.4680365296804
"34",2012,"non_critical","ROB","Low",97.3816029143898
"35",2012,"critical","ROB","Low",97.3816029143898
"36",2013,"non_critical","ROB","Low",98.675799086758
"37",2013,"critical","ROB","Low",98.675799086758
"38",2014,"non_critical","ROB","Low",98.1506849315068
"39",2014,"critical","ROB","Low",98.1506849315068
"40",2015,"non_critical","ROB","Low",98.5159817351598
"41",2015,"critical","ROB","Low",98.5159817351598
"42",2016,"non_critical","ROB","Low",97.7231329690346
"43",2016,"critical","ROB","Low",97.7231329690346
"44",2017,"non_critical","ROB","Low",95.7875457875458
"45",2017,"critical","ROB","Low",95.7875457875458
"46",2010,"non_critical","MC","Medium",0
"47",2011,"non_critical","MC","Medium",0
"48",2011,"critical","MC","Medium",0
"49",2012,"non_critical","MC","Medium",0
"50",2012,"critical","MC","Medium",0
"51",2013,"non_critical","MC","Medium",0
"52",2013,"critical","MC","Medium",0
"53",2014,"non_critical","MC","Medium",0
"54",2014,"critical","MC","Medium",0
"55",2015,"non_critical","MC","Medium",0
"56",2015,"critical","MC","Medium",0
"57",2016,"non_critical","MC","Medium",0
"58",2016,"critical","MC","Medium",0
"59",2017,"non_critical","MC","Medium",0
"60",2017,"critical","MC","Medium",0
"61",2010,"non_critical","LOB","Medium",61.6674218396013
"62",2011,"non_critical","LOB","Medium",59.8858447488585
"63",2011,"critical","LOB","Medium",59.8858447488585
"64",2012,"non_critical","LOB","Medium",87.0901639344262
"65",2012,"critical","LOB","Medium",87.0901639344262
"66",2013,"non_critical","LOB","Medium",87.9109589041096
"67",2013,"critical","LOB","Medium",87.9109589041096
"68",2014,"non_critical","LOB","Medium",95.7534246575343
"69",2014,"critical","LOB","Medium",95.7534246575343
"70",2015,"non_critical","LOB","Medium",95.958904109589
"71",2015,"critical","LOB","Medium",95.958904109589
"72",2016,"non_critical","LOB","Medium",94.1029143897996
"73",2016,"critical","LOB","Medium",94.1029143897996
"74",2017,"non_critical","LOB","Medium",80.3724053724054
"75",2017,"critical","LOB","Medium",80.3724053724054
"76",2010,"non_critical","ROB","Medium",31.9438151336656
"77",2011,"non_critical","ROB","Medium",43.6529680365297
"78",2011,"critical","ROB","Medium",43.6529680365297
"79",2012,"non_critical","ROB","Medium",76.183970856102
"80",2012,"critical","ROB","Medium",76.183970856102
"81",2013,"non_critical","ROB","Medium",69.5433789954338
"82",2013,"critical","ROB","Medium",69.5433789954338
"83",2014,"non_critical","ROB","Medium",92.8995433789954
"84",2014,"critical","ROB","Medium",92.8995433789954
"85",2015,"non_critical","ROB","Medium",94.9086757990868
"86",2015,"critical","ROB","Medium",94.9086757990868
"87",2016,"non_critical","ROB","Medium",91.3706739526412
"88",2016,"critical","ROB","Medium",91.3706739526412
"89",2017,"non_critical","ROB","Medium",76.2820512820513
"90",2017,"critical","ROB","Medium",76.2820512820513
"91",2010,"non_critical","MC","High",0
"92",2011,"non_critical","MC","High",0
"93",2011,"critical","MC","High",0
"94",2012,"non_critical","MC","High",0
"95",2012,"critical","MC","High",0
"96",2013,"non_critical","MC","High",0
"97",2013,"critical","MC","High",0
"98",2014,"non_critical","MC","High",0
"99",2014,"critical","MC","High",0
"100",2015,"non_critical","MC","High",0
"101",2015,"critical","MC","High",0
"102",2016,"non_critical","MC","High",0
"103",2016,"critical","MC","High",0
"104",2017,"non_critical","MC","High",0
"105",2017,"critical","MC","High",0
"106",2010,"non_critical","LOB","High",0
"107",2011,"non_critical","LOB","High",0
"108",2011,"critical","LOB","High",0
"109",2012,"non_critical","LOB","High",0
"110",2012,"critical","LOB","High",0
"111",2013,"non_critical","LOB","High",0
"112",2013,"critical","LOB","High",0
"113",2014,"non_critical","LOB","High",0
"114",2014,"critical","LOB","High",0
"115",2015,"non_critical","LOB","High",0
"116",2015,"critical","LOB","High",0
"117",2016,"non_critical","LOB","High",0
"118",2016,"critical","LOB","High",0
"119",2017,"non_critical","LOB","High",0
"120",2017,"critical","LOB","High",0
"121",2010,"non_critical","ROB","High",0
"122",2011,"non_critical","ROB","High",0
"123",2011,"critical","ROB","High",0
"124",2012,"non_critical","ROB","High",0
"125",2012,"critical","ROB","High",0
"126",2013,"non_critical","ROB","High",0
"127",2013,"critical","ROB","High",0
"128",2014,"non_critical","ROB","High",0
"129",2014,"critical","ROB","High",0
"130",2015,"non_critical","ROB","High",0
"131",2015,"critical","ROB","High",0
"132",2016,"non_critical","ROB","High",0
"133",2016,"critical","ROB","High",0
"134",2017,"non_critical","ROB","High",0
"135",2017,"critical","ROB","High",0
"136",2010,"non_critical","MC","Low.Seasonal",0
"137",2011,"non_critical","MC","Low.Seasonal",0.0228937728937729
"138",2011,"critical","MC","Low.Seasonal",0
"139",2012,"non_critical","MC","Low.Seasonal",0
"140",2012,"critical","MC","Low.Seasonal",0
"141",2013,"non_critical","MC","Low.Seasonal",0
"142",2013,"critical","MC","Low.Seasonal",0
"143",2014,"non_critical","MC","Low.Seasonal",0
"144",2014,"critical","MC","Low.Seasonal",0
"145",2015,"non_critical","MC","Low.Seasonal",0.0915750915750916
"146",2015,"critical","MC","Low.Seasonal",0
"147",2016,"non_critical","MC","Low.Seasonal",0
"148",2016,"critical","MC","Low.Seasonal",0
"149",2017,"non_critical","MC","Low.Seasonal",0
"150",2017,"critical","MC","Low.Seasonal",0
"151",2010,"non_critical","LOB","Low.Seasonal",84.8210240144993
"152",2011,"non_critical","LOB","Low.Seasonal",90.4075091575092
"153",2011,"critical","LOB","Low.Seasonal",99.4535519125683
"154",2012,"non_critical","LOB","Low.Seasonal",95.2868852459016
"155",2012,"critical","LOB","Low.Seasonal",99.1575591985428
"156",2013,"non_critical","LOB","Low.Seasonal",97.7106227106227
"157",2013,"critical","LOB","Low.Seasonal",99.5901639344262
"158",2014,"non_critical","LOB","Low.Seasonal",96.3598901098901
"159",2014,"critical","LOB","Low.Seasonal",99.8178506375228
"160",2015,"non_critical","LOB","Low.Seasonal",97.2298534798535
"161",2015,"critical","LOB","Low.Seasonal",99.5446265938069
"162",2016,"non_critical","LOB","Low.Seasonal",95.8788706739526
"163",2016,"critical","LOB","Low.Seasonal",99.2941712204007
"164",2017,"non_critical","LOB","Low.Seasonal",87.2685185185185
"165",2017,"critical","LOB","Low.Seasonal",99.7495446265938
"166",2010,"non_critical","ROB","Low.Seasonal",85.5459900317173
"167",2011,"non_critical","ROB","Low.Seasonal",91.3461538461538
"168",2011,"critical","ROB","Low.Seasonal",99.5673952641166
"169",2012,"non_critical","ROB","Low.Seasonal",95.5828779599271
"170",2012,"critical","ROB","Low.Seasonal",99.1803278688525
"171",2013,"non_critical","ROB","Low.Seasonal",97.7564102564102
"172",2013,"critical","ROB","Low.Seasonal",99.5901639344262
"173",2014,"non_critical","ROB","Low.Seasonal",96.4514652014652
"174",2014,"critical","ROB","Low.Seasonal",99.8406193078324
"175",2015,"non_critical","ROB","Low.Seasonal",97.4358974358974
"176",2015,"critical","ROB","Low.Seasonal",99.5901639344262
"177",2016,"non_critical","ROB","Low.Seasonal",96.0837887067395
"178",2016,"critical","ROB","Low.Seasonal",99.3624772313297
"179",2017,"non_critical","ROB","Low.Seasonal",87.7314814814815
"180",2017,"critical","ROB","Low.Seasonal",99.7495446265938
"181",2010,"non_critical","MC","Medium.Seasonal",0
"182",2011,"non_critical","MC","Medium.Seasonal",0
"183",2011,"critical","MC","Medium.Seasonal",0
"184",2012,"non_critical","MC","Medium.Seasonal",0
"185",2012,"critical","MC","Medium.Seasonal",0
"186",2013,"non_critical","MC","Medium.Seasonal",0
"187",2013,"critical","MC","Medium.Seasonal",0
"188",2014,"non_critical","MC","Medium.Seasonal",0
"189",2014,"critical","MC","Medium.Seasonal",0
