"","month_year","year","month","season","position","Probability_Threshold","n_days"
"1",2011-01-01,2011,1,"critical","MC","Low",31
"2",2012-01-01,2012,1,"critical","MC","Low",30
"3",2013-01-01,2013,1,"critical","MC","Low",30
"4",2014-01-01,2014,1,"critical","MC","Low",31
"5",2015-01-01,2015,1,"critical","MC","Low",31
"6",2016-01-01,2016,1,"critical","MC","Low",31
"7",2017-01-01,2017,1,"critical","MC","Low",28
"8",2011-02-01,2011,2,"critical","MC","Low",27
"9",2012-02-01,2012,2,"critical","MC","Low",29
"10",2013-02-01,2013,2,"critical","MC","Low",28
"11",2014-02-01,2014,2,"critical","MC","Low",26
"12",2015-02-01,2015,2,"critical","MC","Low",27
"13",2016-02-01,2016,2,"critical","MC","Low",29
"14",2017-02-01,2017,2,"critical","MC","Low",27
"15",2011-03-01,2011,3,"critical","MC","Low",27
"16",2012-03-01,2012,3,"critical","MC","Low",28
"17",2013-03-01,2013,3,"critical","MC","Low",31
"18",2014-03-01,2014,3,"critical","MC","Low",30
"19",2015-03-01,2015,3,"critical","MC","Low",31
"20",2016-03-01,2016,3,"critical","MC","Low",31
"21",2017-03-01,2017,3,"critical","MC","Low",31
"22",2011-04-01,2011,4,"critical","MC","Low",30
"23",2012-04-01,2012,4,"critical","MC","Low",28
"24",2013-04-01,2013,4,"critical","MC","Low",30
"25",2014-04-01,2014,4,"critical","MC","Low",30
"26",2015-04-01,2015,4,"critical","MC","Low",30
"27",2016-04-01,2016,4,"critical","MC","Low",30
"28",2017-04-01,2017,4,"critical","MC","Low",30
"29",2011-05-01,2011,5,"critical","MC","Low",31
"30",2012-05-01,2012,5,"critical","MC","Low",31
"31",2013-05-01,2013,5,"critical","MC","Low",30
"32",2014-05-01,2014,5,"critical","MC","Low",31
"33",2015-05-01,2015,5,"critical","MC","Low",31
"34",2016-05-01,2016,5,"critical","MC","Low",31
"35",2017-05-01,2017,5,"critical","MC","Low",31
"36",2011-06-01,2011,6,"non_critical","MC","Low",30
"37",2012-06-01,2012,6,"non_critical","MC","Low",30
"38",2013-06-01,2013,6,"non_critical","MC","Low",30
"39",2014-06-01,2014,6,"non_critical","MC","Low",30
"40",2015-06-01,2015,6,"non_critical","MC","Low",30
"41",2016-06-01,2016,6,"non_critical","MC","Low",30
"42",2017-06-01,2017,6,"non_critical","MC","Low",30
"43",2011-07-01,2011,7,"non_critical","MC","Low",31
"44",2012-07-01,2012,7,"non_critical","MC","Low",31
"45",2013-07-01,2013,7,"non_critical","MC","Low",31
"46",2014-07-01,2014,7,"non_critical","MC","Low",31
"47",2015-07-01,2015,7,"non_critical","MC","Low",31
"48",2016-07-01,2016,7,"non_critical","MC","Low",31
"49",2017-07-01,2017,7,"non_critical","MC","Low",31
"50",2011-08-01,2011,8,"non_critical","MC","Low",31
"51",2012-08-01,2012,8,"non_critical","MC","Low",31
"52",2013-08-01,2013,8,"non_critical","MC","Low",31
"53",2014-08-01,2014,8,"non_critical","MC","Low",31
"54",2015-08-01,2015,8,"non_critical","MC","Low",31
"55",2016-08-01,2016,8,"non_critical","MC","Low",31
"56",2017-08-01,2017,8,"non_critical","MC","Low",31
"57",2011-09-01,2011,9,"critical","MC","Low",30
"58",2012-09-01,2012,9,"critical","MC","Low",30
"59",2013-09-01,2013,9,"critical","MC","Low",30
"60",2014-09-01,2014,9,"critical","MC","Low",30
"61",2015-09-01,2015,9,"critical","MC","Low",30
"62",2016-09-01,2016,9,"critical","MC","Low",30
"63",2017-09-01,2017,9,"critical","MC","Low",30
"64",2010-10-01,2010,10,"critical","MC","Low",29
"65",2011-10-01,2011,10,"critical","MC","Low",30
"66",2012-10-01,2012,10,"critical","MC","Low",30
"67",2013-10-01,2013,10,"critical","MC","Low",31
"68",2014-10-01,2014,10,"critical","MC","Low",31
"69",2015-10-01,2015,10,"critical","MC","Low",31
"70",2016-10-01,2016,10,"critical","MC","Low",31
"71",2010-11-01,2010,11,"critical","MC","Low",30
"72",2011-11-01,2011,11,"critical","MC","Low",29
"73",2012-11-01,2012,11,"critical","MC","Low",30
"74",2013-11-01,2013,11,"critical","MC","Low",30
"75",2014-11-01,2014,11,"critical","MC","Low",28
"76",2015-11-01,2015,11,"critical","MC","Low",30
"77",2016-11-01,2016,11,"critical","MC","Low",30
"78",2010-12-01,2010,12,"critical","MC","Low",23
"79",2011-12-01,2011,12,"critical","MC","Low",29
"80",2012-12-01,2012,12,"critical","MC","Low",29
"81",2013-12-01,2013,12,"critical","MC","Low",30
"82",2014-12-01,2014,12,"critical","MC","Low",28
"83",2015-12-01,2015,12,"critical","MC","Low",31
"84",2016-12-01,2016,12,"critical","MC","Low",31
"85",2011-01-01,2011,1,"critical","MC","Medium",31
"86",2012-01-01,2012,1,"critical","MC","Medium",30
"87",2013-01-01,2013,1,"critical","MC","Medium",30
"88",2014-01-01,2014,1,"critical","MC","Medium",31
"89",2015-01-01,2015,1,"critical","MC","Medium",31
"90",2016-01-01,2016,1,"critical","MC","Medium",30
"91",2017-01-01,2017,1,"critical","MC","Medium",28
"92",2011-02-01,2011,2,"critical","MC","Medium",26
"93",2012-02-01,2012,2,"critical","MC","Medium",29
"94",2013-02-01,2013,2,"critical","MC","Medium",28
"95",2014-02-01,2014,2,"critical","MC","Medium",26
"96",2015-02-01,2015,2,"critical","MC","Medium",26
"97",2016-02-01,2016,2,"critical","MC","Medium",29
"98",2017-02-01,2017,2,"critical","MC","Medium",27
"99",2011-03-01,2011,3,"critical","MC","Medium",27
"100",2012-03-01,2012,3,"critical","MC","Medium",28
"101",2013-03-01,2013,3,"critical","MC","Medium",30
"102",2014-03-01,2014,3,"critical","MC","Medium",30
"103",2015-03-01,2015,3,"critical","MC","Medium",30
"104",2016-03-01,2016,3,"critical","MC","Medium",31
"105",2017-03-01,2017,3,"critical","MC","Medium",31
"106",2011-04-01,2011,4,"critical","MC","Medium",30
"107",2012-04-01,2012,4,"critical","MC","Medium",28
"108",2013-04-01,2013,4,"critical","MC","Medium",30
"109",2014-04-01,2014,4,"critical","MC","Medium",30
"110",2015-04-01,2015,4,"critical","MC","Medium",30
"111",2016-04-01,2016,4,"critical","MC","Medium",30
"112",2017-04-01,2017,4,"critical","MC","Medium",30
"113",2011-05-01,2011,5,"critical","MC","Medium",31
"114",2012-05-01,2012,5,"critical","MC","Medium",31
"115",2013-05-01,2013,5,"critical","MC","Medium",30
"116",2014-05-01,2014,5,"critical","MC","Medium",31
"117",2015-05-01,2015,5,"critical","MC","Medium",31
"118",2016-05-01,2016,5,"critical","MC","Medium",31
"119",2017-05-01,2017,5,"critical","MC","Medium",31
"120",2011-06-01,2011,6,"non_critical","MC","Medium",30
"121",2012-06-01,2012,6,"non_critical","MC","Medium",30
"122",2013-06-01,2013,6,"non_critical","MC","Medium",30
"123",2014-06-01,2014,6,"non_critical","MC","Medium",30
"124",2015-06-01,2015,6,"non_critical","MC","Medium",30
"125",2016-06-01,2016,6,"non_critical","MC","Medium",30
"126",2017-06-01,2017,6,"non_critical","MC","Medium",30
"127",2011-07-01,2011,7,"non_critical","MC","Medium",31
"128",2012-07-01,2012,7,"non_critical","MC","Medium",31
"129",2013-07-01,2013,7,"non_critical","MC","Medium",31
"130",2014-07-01,2014,7,"non_critical","MC","Medium",31
"131",2015-07-01,2015,7,"non_critical","MC","Medium",31
"132",2016-07-01,2016,7,"non_critical","MC","Medium",31
"133",2017-07-01,2017,7,"non_critical","MC","Medium",31
"134",2011-08-01,2011,8,"non_critical","MC","Medium",31
"135",2012-08-01,2012,8,"non_critical","MC","Medium",31
"136",2013-08-01,2013,8,"non_critical","MC","Medium",31
"137",2014-08-01,2014,8,"non_critical","MC","Medium",31
"138",2015-08-01,2015,8,"non_critical","MC","Medium",31
"139",2016-08-01,2016,8,"non_critical","MC","Medium",31
"140",2017-08-01,2017,8,"non_critical","MC","Medium",31
"141",2011-09-01,2011,9,"critical","MC","Medium",30
"142",2012-09-01,2012,9,"critical","MC","Medium",30
"143",2013-09-01,2013,9,"critical","MC","Medium",30
"144",2014-09-01,2014,9,"critical","MC","Medium",30
"145",2015-09-01,2015,9,"critical","MC","Medium",30
"146",2016-09-01,2016,9,"critical","MC","Medium",30
"147",2017-09-01,2017,9,"critical","MC","Medium",30
"148",2010-10-01,2010,10,"critical","MC","Medium",29
"149",2011-10-01,2011,10,"critical","MC","Medium",28
"150",2012-10-01,2012,10,"critical","MC","Medium",30
"151",2013-10-01,2013,10,"critical","MC","Medium",31
"152",2014-10-01,2014,10,"critical","MC","Medium",31
"153",2015-10-01,2015,10,"critical","MC","Medium",31
"154",2016-10-01,2016,10,"critical","MC","Medium",31
"155",2010-11-01,2010,11,"critical","MC","Medium",30
"156",2011-11-01,2011,11,"critical","MC","Medium",29
"157",2012-11-01,2012,11,"critical","MC","Medium",30
"158",2013-11-01,2013,11,"critical","MC","Medium",28
"159",2014-11-01,2014,11,"critical","MC","Medium",28
"160",2015-11-01,2015,11,"critical","MC","Medium",30
"161",2016-11-01,2016,11,"critical","MC","Medium",30
"162",2010-12-01,2010,12,"critical","MC","Medium",23
"163",2011-12-01,2011,12,"critical","MC","Medium",29
"164",2012-12-01,2012,12,"critical","MC","Medium",27
"165",2013-12-01,2013,12,"critical","MC","Medium",30
"166",2014-12-01,2014,12,"critical","MC","Medium",27
"167",2015-12-01,2015,12,"critical","MC","Medium",31
"168",2016-12-01,2016,12,"critical","MC","Medium",31
"169",2011-01-01,2011,1,"critical","MC","High",0
"170",2012-01-01,2012,1,"critical","MC","High",0
"171",2013-01-01,2013,1,"critical","MC","High",0
"172",2014-01-01,2014,1,"critical","MC","High",0
"173",2015-01-01,2015,1,"critical","MC","High",0
"174",2016-01-01,2016,1,"critical","MC","High",0
"175",2017-01-01,2017,1,"critical","MC","High",0
"176",2011-02-01,2011,2,"critical","MC","High",0
"177",2012-02-01,2012,2,"critical","MC","High",0
"178",2013-02-01,2013,2,"critical","MC","High",0
"179",2014-02-01,2014,2,"critical","MC","High",0
"180",2015-02-01,2015,2,"critical","MC","High",0
"181",2016-02-01,2016,2,"critical","MC","High",0
"182",2017-02-01,2017,2,"critical","MC","High",0
"183",2011-03-01,2011,3,"critical","MC","High",0
"184",2012-03-01,2012,3,"critical","MC","High",0
"185",2013-03-01,2013,3,"critical","MC","High",0
"186",2014-03-01,2014,3,"critical","MC","High",0
"187",2015-03-01,2015,3,"critical","MC","High",0
"188",2016-03-01,2016,3,"critical","MC","High",0
"189",2017-03-01,2017,3,"critical","MC","High",0
"190",2011-04-01,2011,4,"critical","MC","High",0
"191",2012-04-01,2012,4,"critical","MC","High",0
"192",2013-04-01,2013,4,"critical","MC","High",0
"193",2014-04-01,2014,4,"critical","MC","High",0
"194",2015-04-01,2015,4,"critical","MC","High",0
"195",2016-04-01,2016,4,"critical","MC","High",0
"196",2017-04-01,2017,4,"critical","MC","High",0
"197",2011-05-01,2011,5,"critical","MC","High",0
"198",2012-05-01,2012,5,"critical","MC","High",0
"199",2013-05-01,2013,5,"critical","MC","High",0
"200",2014-05-01,2014,5,"critical","MC","High",0
"201",2015-05-01,2015,5,"critical","MC","High",0
"202",2016-05-01,2016,5,"critical","MC","High",0
"203",2017-05-01,2017,5,"critical","MC","High",0
"204",2011-06-01,2011,6,"non_critical","MC","High",0
"205",2012-06-01,2012,6,"non_critical","MC","High",0
"206",2013-06-01,2013,6,"non_critical","MC","High",0
"207",2014-06-01,2014,6,"non_critical","MC","High",0
"208",2015-06-01,2015,6,"non_critical","MC","High",0
"209",2016-06-01,2016,6,"non_critical","MC","High",0
"210",2017-06-01,2017,6,"non_critical","MC","High",0
"211",2011-07-01,2011,7,"non_critical","MC","High",0
"212",2012-07-01,2012,7,"non_critical","MC","High",0
"213",2013-07-01,2013,7,"non_critical","MC","High",0
"214",2014-07-01,2014,7,"non_critical","MC","High",0
"215",2015-07-01,2015,7,"non_critical","MC","High",0
"216",2016-07-01,2016,7,"non_critical","MC","High",0
"217",2017-07-01,2017,7,"non_critical","MC","High",0
"218",2011-08-01,2011,8,"non_critical","MC","High",0
"219",2012-08-01,2012,8,"non_critical","MC","High",0
"220",2013-08-01,2013,8,"non_critical","MC","High",0
"221",2014-08-01,2014,8,"non_critical","MC","High",0
"222",2015-08-01,2015,8,"non_critical","MC","High",0
"223",2016-08-01,2016,8,"non_critical","MC","High",0
"224",2017-08-01,2017,8,"non_critical","MC","High",0
"225",2011-09-01,2011,9,"critical","MC","High",0
"226",2012-09-01,2012,9,"critical","MC","High",0
"227",2013-09-01,2013,9,"critical","MC","High",0
"228",2014-09-01,2014,9,"critical","MC","High",0
"229",2015-09-01,2015,9,"critical","MC","High",0
"230",2016-09-01,2016,9,"critical","MC","High",0
"231",2017-09-01,2017,9,"critical","MC","High",0
"232",2010-10-01,2010,10,"critical","MC","High",0
"233",2011-10-01,2011,10,"critical","MC","High",0
"234",2012-10-01,2012,10,"critical","MC","High",0
"235",2013-10-01,2013,10,"critical","MC","High",0
"236",2014-10-01,2014,10,"critical","MC","High",0
"237",2015-10-01,2015,10,"critical","MC","High",0
"238",2016-10-01,2016,10,"critical","MC","High",0
"239",2010-11-01,2010,11,"critical","MC","High",0
"240",2011-11-01,2011,11,"critical","MC","High",0
"241",2012-11-01,2012,11,"critical","MC","High",0
"242",2013-11-01,2013,11,"critical","MC","High",0
"243",2014-11-01,2014,11,"critical","MC","High",0
"244",2015-11-01,2015,11,"critical","MC","High",0
"245",2016-11-01,2016,11,"critical","MC","High",0
"246",2010-12-01,2010,12,"critical","MC","High",0
"247",2011-12-01,2011,12,"critical","MC","High",0
"248",2012-12-01,2012,12,"critical","MC","High",0
"249",2013-12-01,2013,12,"critical","MC","High",0
"250",2014-12-01,2014,12,"critical","MC","High",0
"251",2015-12-01,2015,12,"critical","MC","High",0
"252",2016-12-01,2016,12,"critical","MC","High",0
