"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",94.789306751246
"2",2011,"non_critical","MC","Low",99.7945205479452
"3",2011,"critical","MC","Low",99.7945205479452
"4",2012,"non_critical","MC","Low",99.9203096539162
"5",2012,"critical","MC","Low",99.9203096539162
"6",2013,"non_critical","MC","Low",100
"7",2013,"critical","MC","Low",100
"8",2014,"non_critical","MC","Low",99.9200913242009
"9",2014,"critical","MC","Low",99.9200913242009
"10",2015,"non_critical","MC","Low",100
"11",2015,"critical","MC","Low",100
"12",2016,"non_critical","MC","Low",100
"13",2016,"critical","MC","Low",100
"14",2017,"non_critical","MC","Low",98.7484737484738
"15",2017,"critical","MC","Low",98.7484737484738
"16",2010,"non_critical","MC","Medium",2.31082917988219
"17",2011,"non_critical","MC","Medium",0.4337899543379
"18",2011,"critical","MC","Medium",0.4337899543379
"19",2012,"non_critical","MC","Medium",0.626138433515483
"20",2012,"critical","MC","Medium",0.626138433515483
"21",2013,"non_critical","MC","Medium",0.23972602739726
"22",2013,"critical","MC","Medium",0.23972602739726
"23",2014,"non_critical","MC","Medium",0.468036529680365
"24",2014,"critical","MC","Medium",0.468036529680365
"25",2015,"non_critical","MC","Medium",0.091324200913242
"26",2015,"critical","MC","Medium",0.091324200913242
"27",2016,"non_critical","MC","Medium",0.227686703096539
"28",2016,"critical","MC","Medium",0.227686703096539
"29",2017,"non_critical","MC","Medium",0.137362637362637
"30",2017,"critical","MC","Medium",0.137362637362637
"31",2010,"non_critical","MC","High",0.724966017217943
"32",2011,"non_critical","MC","High",0.159817351598174
"33",2011,"critical","MC","High",0.159817351598174
"34",2012,"non_critical","MC","High",0.14799635701275
"35",2012,"critical","MC","High",0.14799635701275
"36",2013,"non_critical","MC","High",0.045662100456621
"37",2013,"critical","MC","High",0.045662100456621
"38",2014,"non_critical","MC","High",0.228310502283105
"39",2014,"critical","MC","High",0.228310502283105
"40",2015,"non_critical","MC","High",0.0114155251141553
"41",2015,"critical","MC","High",0.0114155251141553
"42",2016,"non_critical","MC","High",0
"43",2016,"critical","MC","High",0
"44",2017,"non_critical","MC","High",0.061050061050061
"45",2017,"critical","MC","High",0.061050061050061
"46",2010,"non_critical","MC","Low.Seasonal",94.789306751246
"47",2011,"non_critical","MC","Low.Seasonal",99.5879120879121
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",99.8633879781421
"50",2012,"critical","MC","Low.Seasonal",99.9772313296903
"51",2013,"non_critical","MC","Low.Seasonal",100
"52",2013,"critical","MC","Low.Seasonal",100
"53",2014,"non_critical","MC","Low.Seasonal",99.8397435897436
"54",2014,"critical","MC","Low.Seasonal",100
"55",2015,"non_critical","MC","Low.Seasonal",100
"56",2015,"critical","MC","Low.Seasonal",100
"57",2016,"non_critical","MC","Low.Seasonal",100
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",96.2037037037037
"60",2017,"critical","MC","Low.Seasonal",100
"61",2010,"non_critical","MC","Medium.Seasonal",2.31082917988219
"62",2011,"non_critical","MC","Medium.Seasonal",0.86996336996337
"63",2011,"critical","MC","Medium.Seasonal",0
"64",2012,"non_critical","MC","Medium.Seasonal",1.04735883424408
"65",2012,"critical","MC","Medium.Seasonal",0.204918032786885
"66",2013,"non_critical","MC","Medium.Seasonal",0.412087912087912
"67",2013,"critical","MC","Medium.Seasonal",0.0683060109289618
"68",2014,"non_critical","MC","Medium.Seasonal",0.938644688644689
"69",2014,"critical","MC","Medium.Seasonal",0
"70",2015,"non_critical","MC","Medium.Seasonal",0.16025641025641
"71",2015,"critical","MC","Medium.Seasonal",0.0227686703096539
"72",2016,"non_critical","MC","Medium.Seasonal",0.455373406193078
"73",2016,"critical","MC","Medium.Seasonal",0
"74",2017,"non_critical","MC","Medium.Seasonal",0.416666666666667
"75",2017,"critical","MC","Medium.Seasonal",0
"76",2010,"non_critical","MC","High.Seasonal",0.724966017217943
"77",2011,"non_critical","MC","High.Seasonal",0.32051282051282
"78",2011,"critical","MC","High.Seasonal",0
"79",2012,"non_critical","MC","High.Seasonal",0.250455373406193
"80",2012,"critical","MC","High.Seasonal",0.0455373406193078
"81",2013,"non_critical","MC","High.Seasonal",0.0686813186813187
"82",2013,"critical","MC","High.Seasonal",0.0227686703096539
"83",2014,"non_critical","MC","High.Seasonal",0.457875457875458
"84",2014,"critical","MC","High.Seasonal",0
"85",2015,"non_critical","MC","High.Seasonal",0.0228937728937729
"86",2015,"critical","MC","High.Seasonal",0
"87",2016,"non_critical","MC","High.Seasonal",0
"88",2016,"critical","MC","High.Seasonal",0
"89",2017,"non_critical","MC","High.Seasonal",0.185185185185185
"90",2017,"critical","MC","High.Seasonal",0
