"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"LOB",31,0,0
"2",1,2011,"MC",28,28,28
"3",1,2011,"ROB",31,0,0
"4",1,2012,"LOB",31,0,0
"5",1,2012,"MC",29,29,28
"6",1,2012,"ROB",31,0,0
"7",1,2013,"LOB",31,0,0
"8",1,2013,"MC",28,25,25
"9",1,2013,"ROB",31,0,0
"10",1,2014,"LOB",31,0,0
"11",1,2014,"MC",31,31,31
"12",1,2014,"ROB",31,0,0
"13",1,2015,"LOB",31,0,0
"14",1,2015,"MC",28,27,26
"15",1,2015,"ROB",31,0,0
"16",1,2016,"LOB",29,0,0
"17",1,2016,"MC",27,26,26
"18",1,2016,"ROB",29,0,0
"19",1,2017,"LOB",29,1,0
"20",1,2017,"MC",20,20,16
"21",1,2017,"ROB",29,1,0
"22",2,2011,"LOB",28,0,0
"23",2,2011,"MC",22,22,20
"24",2,2011,"ROB",28,0,0
"25",2,2012,"LOB",29,0,0
"26",2,2012,"MC",29,28,28
"27",2,2012,"ROB",29,0,0
"28",2,2013,"LOB",28,0,0
"29",2,2013,"MC",26,26,24
"30",2,2013,"ROB",28,0,0
"31",2,2014,"LOB",27,0,0
"32",2,2014,"MC",24,24,23
"33",2,2014,"ROB",27,0,0
"34",2,2015,"LOB",28,0,0
"35",2,2015,"MC",26,25,24
"36",2,2015,"ROB",28,0,0
"37",2,2016,"LOB",29,0,0
"38",2,2016,"MC",27,27,26
"39",2,2016,"ROB",29,0,0
"40",2,2017,"LOB",27,0,0
"41",2,2017,"MC",21,16,16
"42",2,2017,"ROB",27,0,0
"43",3,2011,"LOB",30,0,0
"44",3,2011,"MC",22,21,16
"45",3,2011,"ROB",30,0,0
"46",3,2012,"LOB",31,0,0
"47",3,2012,"MC",26,26,26
"48",3,2012,"ROB",31,0,0
"49",3,2013,"LOB",31,0,0
"50",3,2013,"MC",29,29,28
"51",3,2013,"ROB",31,0,0
"52",3,2014,"LOB",31,0,0
"53",3,2014,"MC",30,29,29
"54",3,2014,"ROB",31,0,0
"55",3,2015,"LOB",31,0,0
"56",3,2015,"MC",29,29,28
