"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"LOB",28,0,NA
"2",1,2011,"MC",28,28,NA
"3",1,2011,"ROB",30,30,NA
"4",1,2012,"LOB",29,0,NA
"5",1,2012,"MC",29,29,NA
"6",1,2012,"ROB",29,29,NA
"7",1,2013,"LOB",23,0,NA
"8",1,2013,"MC",25,24,NA
"9",1,2013,"ROB",30,29,NA
"10",1,2014,"LOB",31,0,NA
"11",1,2014,"MC",31,31,NA
"12",1,2014,"ROB",31,31,NA
"13",1,2015,"LOB",26,0,NA
"14",1,2015,"MC",27,26,NA
"15",1,2015,"ROB",29,28,NA
"16",1,2016,"LOB",25,0,NA
"17",1,2016,"MC",26,26,NA
"18",1,2016,"ROB",27,27,NA
"19",1,2017,"LOB",17,0,NA
"20",1,2017,"MC",18,17,NA
"21",1,2017,"ROB",23,21,NA
"22",2,2011,"LOB",21,0,NA
"23",2,2011,"MC",21,21,NA
"24",2,2011,"ROB",23,23,NA
"25",2,2012,"LOB",26,0,NA
"26",2,2012,"MC",28,28,NA
"27",2,2012,"ROB",29,29,NA
"28",2,2013,"LOB",24,0,NA
"29",2,2013,"MC",26,24,NA
"30",2,2013,"ROB",27,26,NA
"31",2,2014,"LOB",23,0,NA
"32",2,2014,"MC",24,23,NA
"33",2,2014,"ROB",25,24,NA
"34",2,2015,"LOB",24,0,NA
"35",2,2015,"MC",25,24,NA
"36",2,2015,"ROB",27,27,NA
"37",2,2016,"LOB",27,0,NA
"38",2,2016,"MC",27,27,NA
"39",2,2016,"ROB",28,27,NA
"40",2,2017,"LOB",16,0,NA
"41",2,2017,"MC",16,16,NA
"42",2,2017,"ROB",22,22,NA
"43",3,2011,"LOB",15,0,NA
"44",3,2011,"MC",16,15,NA
"45",3,2011,"ROB",27,25,NA
"46",3,2012,"LOB",26,0,NA
"47",3,2012,"MC",26,26,NA
"48",3,2012,"ROB",29,29,NA
"49",3,2013,"LOB",29,0,NA
"50",3,2013,"MC",29,29,NA
"51",3,2013,"ROB",30,29,NA
"52",3,2014,"LOB",28,0,NA
"53",3,2014,"MC",30,28,NA
"54",3,2014,"ROB",30,30,NA
"55",3,2015,"LOB",28,0,NA
"56",3,2015,"MC",28,28,NA
"57",3,2015,"ROB",29,29,NA
"58",3,2016,"LOB",25,0,NA
"59",3,2016,"MC",27,25,NA
"60",3,2016,"ROB",28,28,NA
"61",3,2017,"LOB",28,0,NA
"62",3,2017,"MC",28,28,NA
"63",3,2017,"ROB",31,30,NA
"64",4,2011,"LOB",22,0,NA
"65",4,2011,"MC",30,22,NA
"66",4,2011,"ROB",30,30,NA
"67",4,2012,"LOB",22,0,NA
"68",4,2012,"MC",25,25,NA
"69",4,2012,"ROB",27,26,NA
"70",4,2013,"LOB",30,0,NA
"71",4,2013,"MC",30,30,NA
"72",4,2013,"ROB",30,30,NA
"73",4,2014,"LOB",27,0,NA
"74",4,2014,"MC",28,27,NA
"75",4,2014,"ROB",29,29,NA
"76",4,2015,"LOB",28,0,NA
"77",4,2015,"MC",28,28,NA
"78",4,2015,"ROB",30,30,NA
"79",4,2016,"LOB",26,0,NA
"80",4,2016,"MC",27,26,NA
"81",4,2016,"ROB",30,30,NA
"82",4,2017,"LOB",29,0,NA
"83",4,2017,"MC",29,29,NA
"84",4,2017,"ROB",30,30,NA
"85",5,2011,"LOB",28,0,NA
"86",5,2011,"MC",28,28,NA
"87",5,2011,"ROB",30,30,NA
"88",5,2012,"LOB",30,0,NA
"89",5,2012,"MC",31,30,NA
"90",5,2012,"ROB",31,31,NA
"91",5,2013,"LOB",29,0,NA
"92",5,2013,"MC",29,29,NA
"93",5,2013,"ROB",29,29,NA
"94",5,2014,"LOB",31,0,NA
"95",5,2014,"MC",31,31,NA
"96",5,2014,"ROB",31,31,NA
"97",5,2015,"LOB",29,0,NA
"98",5,2015,"MC",30,29,NA
"99",5,2015,"ROB",30,30,NA
"100",5,2016,"LOB",29,0,NA
"101",5,2016,"MC",30,29,NA
"102",5,2016,"ROB",31,30,NA
"103",5,2017,"LOB",29,0,NA
"104",5,2017,"MC",30,30,NA
"105",5,2017,"ROB",31,31,NA
"106",6,2011,"LOB",30,0,NA
"107",6,2011,"MC",30,30,NA
"108",6,2011,"ROB",30,30,NA
"109",6,2012,"LOB",30,0,NA
"110",6,2012,"MC",30,30,NA
"111",6,2012,"ROB",30,30,NA
"112",6,2013,"LOB",30,0,NA
"113",6,2013,"MC",30,30,NA
"114",6,2013,"ROB",30,30,NA
"115",6,2014,"LOB",30,0,NA
"116",6,2014,"MC",30,30,NA
"117",6,2014,"ROB",30,30,NA
"118",6,2015,"LOB",30,0,NA
"119",6,2015,"MC",30,30,NA
"120",6,2015,"ROB",30,30,NA
"121",6,2016,"LOB",30,0,NA
"122",6,2016,"MC",30,30,NA
"123",6,2016,"ROB",30,30,NA
"124",6,2017,"LOB",30,0,NA
"125",6,2017,"MC",30,30,NA
"126",6,2017,"ROB",30,30,NA
"127",7,2011,"LOB",31,0,NA
"128",7,2011,"MC",31,31,NA
"129",7,2011,"ROB",31,31,NA
"130",7,2012,"LOB",31,0,NA
"131",7,2012,"MC",31,31,NA
"132",7,2012,"ROB",31,31,NA
"133",7,2013,"LOB",31,0,NA
"134",7,2013,"MC",31,31,NA
"135",7,2013,"ROB",31,31,NA
"136",7,2014,"LOB",31,0,NA
"137",7,2014,"MC",31,31,NA
"138",7,2014,"ROB",31,31,NA
"139",7,2015,"LOB",31,0,NA
"140",7,2015,"MC",31,31,NA
"141",7,2015,"ROB",31,31,NA
"142",7,2016,"LOB",31,0,NA
"143",7,2016,"MC",31,31,NA
"144",7,2016,"ROB",31,31,NA
"145",7,2017,"LOB",31,0,NA
"146",7,2017,"MC",31,31,NA
"147",7,2017,"ROB",31,31,NA
"148",8,2011,"LOB",31,0,NA
"149",8,2011,"MC",31,31,NA
"150",8,2011,"ROB",31,31,NA
"151",8,2012,"LOB",31,0,NA
"152",8,2012,"MC",31,31,NA
"153",8,2012,"ROB",31,31,NA
"154",8,2013,"LOB",31,0,NA
"155",8,2013,"MC",31,31,NA
"156",8,2013,"ROB",31,31,NA
"157",8,2014,"LOB",31,0,NA
"158",8,2014,"MC",31,31,NA
"159",8,2014,"ROB",31,31,NA
"160",8,2015,"LOB",31,0,NA
"161",8,2015,"MC",31,31,NA
"162",8,2015,"ROB",31,31,NA
"163",8,2016,"LOB",31,0,NA
"164",8,2016,"MC",31,31,NA
"165",8,2016,"ROB",31,31,NA
"166",8,2017,"LOB",31,0,NA
"167",8,2017,"MC",31,31,NA
"168",8,2017,"ROB",31,31,NA
"169",9,2011,"LOB",30,0,NA
"170",9,2011,"MC",30,30,NA
"171",9,2011,"ROB",30,30,NA
"172",9,2012,"LOB",30,0,NA
