"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",95.0158586316266
"2",2011,"non_critical","MC","Low",99.2808219178082
"3",2011,"critical","MC","Low",99.2808219178082
"4",2012,"non_critical","MC","Low",99.5446265938069
"5",2012,"critical","MC","Low",99.5446265938069
"6",2013,"non_critical","MC","Low",99.8858447488584
"7",2013,"critical","MC","Low",99.8858447488584
"8",2014,"non_critical","MC","Low",99.3036529680365
"9",2014,"critical","MC","Low",99.3036529680365
"10",2015,"non_critical","MC","Low",99.8287671232877
"11",2015,"critical","MC","Low",99.8287671232877
"12",2016,"non_critical","MC","Low",99.1347905282332
"13",2016,"critical","MC","Low",99.1347905282332
"14",2017,"non_critical","MC","Low",98.5653235653236
"15",2017,"critical","MC","Low",98.5653235653236
"16",2010,"non_critical","MC","Medium",93.0222020842773
"17",2011,"non_critical","MC","Medium",98.6529680365297
"18",2011,"critical","MC","Medium",98.6529680365297
"19",2012,"non_critical","MC","Medium",98.8274134790528
"20",2012,"critical","MC","Medium",98.8274134790528
"21",2013,"non_critical","MC","Medium",99.6461187214612
"22",2013,"critical","MC","Medium",99.6461187214612
"23",2014,"non_critical","MC","Medium",98.9383561643835
"24",2014,"critical","MC","Medium",98.9383561643835
"25",2015,"non_critical","MC","Medium",99.4977168949772
"26",2015,"critical","MC","Medium",99.4977168949772
"27",2016,"non_critical","MC","Medium",98.485883424408
"28",2016,"critical","MC","Medium",98.485883424408
"29",2017,"non_critical","MC","Medium",97.9090354090354
"30",2017,"critical","MC","Medium",97.9090354090354
"31",2010,"non_critical","MC","High",0
"32",2011,"non_critical","MC","High",0
"33",2011,"critical","MC","High",0
"34",2012,"non_critical","MC","High",0
"35",2012,"critical","MC","High",0
"36",2013,"non_critical","MC","High",0
"37",2013,"critical","MC","High",0
"38",2014,"non_critical","MC","High",0
"39",2014,"critical","MC","High",0
"40",2015,"non_critical","MC","High",0
"41",2015,"critical","MC","High",0
"42",2016,"non_critical","MC","High",0
"43",2016,"critical","MC","High",0
"44",2017,"non_critical","MC","High",0
"45",2017,"critical","MC","High",0
"46",2010,"non_critical","MC","Low.Seasonal",95.0158586316266
"47",2011,"non_critical","MC","Low.Seasonal",98.5576923076923
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",99.3169398907104
"50",2012,"critical","MC","Low.Seasonal",99.7723132969035
"51",2013,"non_critical","MC","Low.Seasonal",99.7710622710623
"52",2013,"critical","MC","Low.Seasonal",100
"53",2014,"non_critical","MC","Low.Seasonal",98.6034798534799
"54",2014,"critical","MC","Low.Seasonal",100
"55",2015,"non_critical","MC","Low.Seasonal",99.6794871794872
"56",2015,"critical","MC","Low.Seasonal",99.9772313296903
"57",2016,"non_critical","MC","Low.Seasonal",98.2695810564663
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",95.6481481481482
"60",2017,"critical","MC","Low.Seasonal",100
"61",2010,"non_critical","MC","Medium.Seasonal",93.0222020842773
"62",2011,"non_critical","MC","Medium.Seasonal",97.3214285714286
"63",2011,"critical","MC","Medium.Seasonal",99.9772313296903
"64",2012,"non_critical","MC","Medium.Seasonal",98.224043715847
"65",2012,"critical","MC","Medium.Seasonal",99.4307832422586
"66",2013,"non_critical","MC","Medium.Seasonal",99.3131868131868
"67",2013,"critical","MC","Medium.Seasonal",99.9772313296903
"68",2014,"non_critical","MC","Medium.Seasonal",97.8937728937729
"69",2014,"critical","MC","Medium.Seasonal",99.9772313296903
"70",2015,"non_critical","MC","Medium.Seasonal",99.2216117216117
"71",2015,"critical","MC","Medium.Seasonal",99.7723132969035
"72",2016,"non_critical","MC","Medium.Seasonal",96.971766848816
"73",2016,"critical","MC","Medium.Seasonal",100
"74",2017,"non_critical","MC","Medium.Seasonal",93.75
"75",2017,"critical","MC","Medium.Seasonal",99.9544626593807
"76",2010,"non_critical","MC","High.Seasonal",0
"77",2011,"non_critical","MC","High.Seasonal",0
"78",2011,"critical","MC","High.Seasonal",0
"79",2012,"non_critical","MC","High.Seasonal",0
"80",2012,"critical","MC","High.Seasonal",0
"81",2013,"non_critical","MC","High.Seasonal",0
"82",2013,"critical","MC","High.Seasonal",0
"83",2014,"non_critical","MC","High.Seasonal",0
"84",2014,"critical","MC","High.Seasonal",0
"85",2015,"non_critical","MC","High.Seasonal",0
"86",2015,"critical","MC","High.Seasonal",0
"87",2016,"non_critical","MC","High.Seasonal",0
"88",2016,"critical","MC","High.Seasonal",0
"89",2017,"non_critical","MC","High.Seasonal",0
"90",2017,"critical","MC","High.Seasonal",0
