"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"MC",34,32,0
"2",1,2012,"MC",33,33,0
"3",1,2013,"MC",33,33,0
"4",1,2014,"MC",31,31,0
"5",1,2015,"MC",32,32,0
"6",1,2016,"MC",35,33,0
"7",1,2017,"MC",38,33,0
"8",2,2011,"MC",28,29,0
"9",2,2012,"MC",29,30,0
"10",2,2013,"MC",30,30,0
"11",2,2014,"MC",28,27,0
"12",2,2015,"MC",29,30,0
"13",2,2016,"MC",30,29,0
"14",2,2017,"MC",35,33,0
"15",3,2011,"MC",32,20,0
"16",3,2012,"MC",32,30,0
"17",3,2013,"MC",31,31,0
"18",3,2014,"MC",31,32,0
"19",3,2015,"MC",32,33,0
"20",3,2016,"MC",33,35,0
"21",3,2017,"MC",32,32,0
"22",4,2011,"MC",30,25,0
"23",4,2012,"MC",33,31,0
"24",4,2013,"MC",30,30,0
"25",4,2014,"MC",30,31,0
"26",4,2015,"MC",31,32,0
"27",4,2016,"MC",33,34,0
"28",4,2017,"MC",30,30,0
"29",5,2011,"MC",33,32,0
"30",5,2012,"MC",31,31,0
"31",5,2013,"MC",31,31,0
"32",5,2014,"MC",31,31,0
"33",5,2015,"MC",31,32,0
"34",5,2016,"MC",33,32,0
"35",5,2017,"MC",32,32,0
"36",6,2011,"MC",30,30,0
"37",6,2012,"MC",30,30,0
"38",6,2013,"MC",30,30,0
"39",6,2014,"MC",30,30,0
"40",6,2015,"MC",30,30,0
"41",6,2016,"MC",30,30,0
"42",6,2017,"MC",30,30,0
"43",7,2011,"MC",31,31,0
"44",7,2012,"MC",31,31,0
"45",7,2013,"MC",31,31,0
"46",7,2014,"MC",31,31,0
"47",7,2015,"MC",31,31,0
"48",7,2016,"MC",31,31,0
"49",7,2017,"MC",31,31,0
"50",8,2011,"MC",31,31,0
"51",8,2012,"MC",31,31,0
"52",8,2013,"MC",31,31,0
"53",8,2014,"MC",31,31,0
"54",8,2015,"MC",31,31,0
"55",8,2016,"MC",31,31,0
"56",8,2017,"MC",31,31,0
"57",9,2011,"MC",30,30,0
"58",9,2012,"MC",30,30,0
"59",9,2013,"MC",30,30,0
"60",9,2014,"MC",30,30,0
"61",9,2015,"MC",31,31,0
"62",9,2016,"MC",30,30,0
"63",9,2017,"MC",30,30,0
"64",10,2010,"MC",34,38,0
"65",10,2011,"MC",32,32,0
"66",10,2012,"MC",32,32,0
"67",10,2013,"MC",31,32,0
"68",10,2014,"MC",31,31,0
"69",10,2015,"MC",32,34,0
"70",10,2016,"MC",33,34,0
"71",11,2010,"MC",32,31,0
"72",11,2011,"MC",34,35,0
"73",11,2012,"MC",31,33,0
"74",11,2013,"MC",31,31,0
"75",11,2014,"MC",30,30,0
"76",11,2015,"MC",30,32,0
"77",11,2016,"MC",31,31,0
"78",12,2010,"MC",29,24,0
"79",12,2011,"MC",33,33,0
"80",12,2012,"MC",34,36,0
"81",12,2013,"MC",33,33,0
"82",12,2014,"MC",34,32,0
"83",12,2015,"MC",34,34,0
"84",12,2016,"MC",33,33,0
