"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",96.1939284096058
"2",2011,"non_critical","MC","Low",99.337899543379
"3",2011,"critical","MC","Low",99.337899543379
"4",2012,"non_critical","MC","Low",99.1234061930783
"5",2012,"critical","MC","Low",99.1234061930783
"6",2013,"non_critical","MC","Low",99.7488584474886
"7",2013,"critical","MC","Low",99.7488584474886
"8",2014,"non_critical","MC","Low",99.3949771689498
"9",2014,"critical","MC","Low",99.3949771689498
"10",2015,"non_critical","MC","Low",99.8744292237443
"11",2015,"critical","MC","Low",99.8744292237443
"12",2016,"non_critical","MC","Low",99.6357012750455
"13",2016,"critical","MC","Low",99.6357012750455
"14",2017,"non_critical","MC","Low",99.2063492063492
"15",2017,"critical","MC","Low",99.2063492063492
"16",2010,"non_critical","MC","Medium",90.30357951971
"17",2011,"non_critical","MC","Medium",97.3401826484018
"18",2011,"critical","MC","Medium",97.3401826484018
"19",2012,"non_critical","MC","Medium",97.1425318761384
"20",2012,"critical","MC","Medium",97.1425318761384
"21",2013,"non_critical","MC","Medium",99.0525114155251
"22",2013,"critical","MC","Medium",99.0525114155251
"23",2014,"non_critical","MC","Medium",98.6529680365297
"24",2014,"critical","MC","Medium",98.6529680365297
"25",2015,"non_critical","MC","Medium",99.7260273972603
"26",2015,"critical","MC","Medium",99.7260273972603
"27",2016,"non_critical","MC","Medium",98.292349726776
"28",2016,"critical","MC","Medium",98.292349726776
"29",2017,"non_critical","MC","Medium",97.4969474969475
"30",2017,"critical","MC","Medium",97.4969474969475
"31",2010,"non_critical","MC","High",15.9039420027186
"32",2011,"non_critical","MC","High",78.0707762557078
"33",2011,"critical","MC","High",78.0707762557078
"34",2012,"non_critical","MC","High",58.8114754098361
"35",2012,"critical","MC","High",58.8114754098361
"36",2013,"non_critical","MC","High",82.0776255707763
"37",2013,"critical","MC","High",82.0776255707763
"38",2014,"non_critical","MC","High",86.027397260274
"39",2014,"critical","MC","High",86.027397260274
"40",2015,"non_critical","MC","High",98.3561643835616
"41",2015,"critical","MC","High",98.3561643835616
"42",2016,"non_critical","MC","High",95.1616575591985
"43",2016,"critical","MC","High",95.1616575591985
"44",2017,"non_critical","MC","High",86.4774114774115
"45",2017,"critical","MC","High",86.4774114774115
"46",2010,"non_critical","MC","Low.Seasonal",96.1939284096058
"47",2011,"non_critical","MC","Low.Seasonal",98.6721611721612
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",98.5200364298725
"50",2012,"critical","MC","Low.Seasonal",99.7267759562842
"51",2013,"non_critical","MC","Low.Seasonal",99.5650183150183
"52",2013,"critical","MC","Low.Seasonal",99.931693989071
"53",2014,"non_critical","MC","Low.Seasonal",98.8095238095238
"54",2014,"critical","MC","Low.Seasonal",99.9772313296903
"55",2015,"non_critical","MC","Low.Seasonal",99.793956043956
"56",2015,"critical","MC","Low.Seasonal",99.9544626593807
"57",2016,"non_critical","MC","Low.Seasonal",99.2714025500911
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",97.6851851851852
"60",2017,"critical","MC","Low.Seasonal",99.9544626593807
"61",2010,"non_critical","MC","Medium.Seasonal",90.30357951971
"62",2011,"non_critical","MC","Medium.Seasonal",94.7344322344322
"63",2011,"critical","MC","Medium.Seasonal",99.931693989071
"64",2012,"non_critical","MC","Medium.Seasonal",95.0591985428051
"65",2012,"critical","MC","Medium.Seasonal",99.2258652094718
"66",2013,"non_critical","MC","Medium.Seasonal",98.3745421245421
"67",2013,"critical","MC","Medium.Seasonal",99.7267759562842
"68",2014,"non_critical","MC","Medium.Seasonal",97.5274725274725
"69",2014,"critical","MC","Medium.Seasonal",99.7723132969035
"70",2015,"non_critical","MC","Medium.Seasonal",99.6565934065934
"71",2015,"critical","MC","Medium.Seasonal",99.7950819672131
"72",2016,"non_critical","MC","Medium.Seasonal",96.5846994535519
"73",2016,"critical","MC","Medium.Seasonal",100
"74",2017,"non_critical","MC","Medium.Seasonal",92.5462962962963
"75",2017,"critical","MC","Medium.Seasonal",99.931693989071
"76",2010,"non_critical","MC","High.Seasonal",15.9039420027186
"77",2011,"non_critical","MC","High.Seasonal",57.3717948717949
"78",2011,"critical","MC","High.Seasonal",98.6566484517304
"79",2012,"non_critical","MC","High.Seasonal",52.5728597449909
"80",2012,"critical","MC","High.Seasonal",65.0500910746812
"81",2013,"non_critical","MC","High.Seasonal",78.9835164835165
"82",2013,"critical","MC","High.Seasonal",85.1548269581056
"83",2014,"non_critical","MC","High.Seasonal",78.2509157509158
"84",2014,"critical","MC","High.Seasonal",93.7613843351548
"85",2015,"non_critical","MC","High.Seasonal",98.6492673992674
"86",2015,"critical","MC","High.Seasonal",98.0646630236794
"87",2016,"non_critical","MC","High.Seasonal",90.3688524590164
"88",2016,"critical","MC","High.Seasonal",99.9544626593807
"89",2017,"non_critical","MC","High.Seasonal",63.5648148148148
"90",2017,"critical","MC","High.Seasonal",97.7459016393443
