"","LOB","MC","ROB"
"Low_Prob_1",214.266199355256,5454.89470795068,12404.4926947624
"Low_Prob_2",10314.8183298878,NA,NA
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",499.782664084567,74.0095210241364,1062.85756932884
"Med_Prob_2",8570.95325807193,4463.46921163883,10899.9940344166
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",1083.79527012599,469.566682349983,2895.20541552168
"High_Prob_2",6290.56392561643,3185.78167952708,8816.98251293905
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
