"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"LOB",31,31,31
"2",1,2011,"MC",33,0,0
"3",1,2011,"ROB",31,31,31
"4",1,2012,"LOB",31,31,31
"5",1,2012,"MC",33,0,0
"6",1,2012,"ROB",31,31,31
"7",1,2013,"LOB",31,31,31
"8",1,2013,"MC",33,0,0
"9",1,2013,"ROB",31,31,31
"10",1,2014,"LOB",31,31,31
"11",1,2014,"MC",31,0,0
"12",1,2014,"ROB",31,31,31
"13",1,2015,"LOB",31,31,31
"14",1,2015,"MC",33,18,0
"15",1,2015,"ROB",31,31,31
"16",1,2016,"LOB",31,32,32
"17",1,2016,"MC",35,0,0
"18",1,2016,"ROB",31,31,31
"19",1,2017,"LOB",32,33,33
"20",1,2017,"MC",31,3,0
"21",1,2017,"ROB",31,32,32
"22",2,2011,"LOB",28,28,28
"23",2,2011,"MC",31,0,0
"24",2,2011,"ROB",28,28,28
"25",2,2012,"LOB",29,29,29
"26",2,2012,"MC",30,0,0
"27",2,2012,"ROB",29,29,29
"28",2,2013,"LOB",28,28,28
"29",2,2013,"MC",30,0,0
"30",2,2013,"ROB",28,28,28
"31",2,2014,"LOB",28,30,30
"32",2,2014,"MC",27,0,0
"33",2,2014,"ROB",28,28,29
"34",2,2015,"LOB",28,28,28
"35",2,2015,"MC",30,2,0
"36",2,2015,"ROB",28,28,28
"37",2,2016,"LOB",29,29,29
"38",2,2016,"MC",29,0,0
"39",2,2016,"ROB",29,29,29
"40",2,2017,"LOB",29,29,29
"41",2,2017,"MC",19,0,0
"42",2,2017,"ROB",28,29,29
"43",3,2011,"LOB",32,32,32
"44",3,2011,"MC",32,0,0
"45",3,2011,"ROB",32,32,32
"46",3,2012,"LOB",31,31,32
"47",3,2012,"MC",31,0,0
"48",3,2012,"ROB",31,31,31
"49",3,2013,"LOB",31,31,31
"50",3,2013,"MC",32,0,0
"51",3,2013,"ROB",31,31,31
"52",3,2014,"LOB",31,31,31
"53",3,2014,"MC",33,0,0
"54",3,2014,"ROB",31,31,31
"55",3,2015,"LOB",31,31,31
"56",3,2015,"MC",30,0,0
"57",3,2015,"ROB",31,31,31
"58",3,2016,"LOB",31,31,31
"59",3,2016,"MC",35,0,0
"60",3,2016,"ROB",31,31,31
"61",3,2017,"LOB",31,31,31
"62",3,2017,"MC",28,0,0
"63",3,2017,"ROB",31,31,31
"64",4,2011,"LOB",30,30,30
"65",4,2011,"MC",31,0,0
"66",4,2011,"ROB",30,30,30
"67",4,2012,"LOB",31,31,31
"68",4,2012,"MC",29,0,0
"69",4,2012,"ROB",30,31,31
"70",4,2013,"LOB",30,30,30
"71",4,2013,"MC",30,0,0
"72",4,2013,"ROB",30,30,30
"73",4,2014,"LOB",30,30,30
"74",4,2014,"MC",30,0,0
"75",4,2014,"ROB",30,30,30
"76",4,2015,"LOB",30,30,30
"77",4,2015,"MC",31,0,0
"78",4,2015,"ROB",30,30,30
"79",4,2016,"LOB",30,30,30
"80",4,2016,"MC",35,0,0
"81",4,2016,"ROB",30,30,30
"82",4,2017,"LOB",30,30,30
"83",4,2017,"MC",30,0,0
"84",4,2017,"ROB",30,30,30
"85",5,2011,"LOB",31,31,31
"86",5,2011,"MC",32,0,0
"87",5,2011,"ROB",31,31,31
"88",5,2012,"LOB",31,31,31
"89",5,2012,"MC",31,0,0
"90",5,2012,"ROB",31,31,31
"91",5,2013,"LOB",31,31,31
"92",5,2013,"MC",31,0,0
"93",5,2013,"ROB",31,31,31
"94",5,2014,"LOB",31,31,31
"95",5,2014,"MC",31,1,0
"96",5,2014,"ROB",31,31,31
"97",5,2015,"LOB",31,31,31
"98",5,2015,"MC",32,7,0
"99",5,2015,"ROB",31,31,31
"100",5,2016,"LOB",31,31,31
"101",5,2016,"MC",32,0,0
"102",5,2016,"ROB",31,31,31
"103",5,2017,"LOB",31,31,31
"104",5,2017,"MC",32,0,0
"105",5,2017,"ROB",31,31,31
"106",6,2011,"LOB",30,30,30
"107",6,2011,"MC",30,0,0
"108",6,2011,"ROB",30,30,30
"109",6,2012,"LOB",30,30,30
"110",6,2012,"MC",30,0,0
"111",6,2012,"ROB",30,30,30
"112",6,2013,"LOB",30,30,30
"113",6,2013,"MC",30,0,0
"114",6,2013,"ROB",30,30,30
"115",6,2014,"LOB",30,30,30
"116",6,2014,"MC",30,0,0
"117",6,2014,"ROB",30,30,30
"118",6,2015,"LOB",30,30,30
"119",6,2015,"MC",30,1,0
"120",6,2015,"ROB",30,30,30
"121",6,2016,"LOB",30,30,30
"122",6,2016,"MC",30,0,0
"123",6,2016,"ROB",30,30,30
"124",6,2017,"LOB",30,30,30
"125",6,2017,"MC",30,0,0
"126",6,2017,"ROB",30,30,30
"127",7,2011,"LOB",31,31,31
"128",7,2011,"MC",31,1,0
"129",7,2011,"ROB",31,31,31
"130",7,2012,"LOB",31,31,31
"131",7,2012,"MC",31,0,0
"132",7,2012,"ROB",31,31,31
"133",7,2013,"LOB",31,31,31
"134",7,2013,"MC",31,0,0
"135",7,2013,"ROB",31,31,31
"136",7,2014,"LOB",31,31,31
"137",7,2014,"MC",31,0,0
"138",7,2014,"ROB",31,31,31
"139",7,2015,"LOB",31,31,31
"140",7,2015,"MC",31,1,0
"141",7,2015,"ROB",31,31,31
"142",7,2016,"LOB",31,31,31
"143",7,2016,"MC",31,2,1
"144",7,2016,"ROB",31,31,31
"145",7,2017,"LOB",31,31,31
"146",7,2017,"MC",31,5,0
"147",7,2017,"ROB",31,31,31
"148",8,2011,"LOB",31,31,31
"149",8,2011,"MC",31,0,0
"150",8,2011,"ROB",31,31,31
"151",8,2012,"LOB",31,31,31
"152",8,2012,"MC",31,0,0
"153",8,2012,"ROB",31,31,31
"154",8,2013,"LOB",31,31,31
"155",8,2013,"MC",31,0,0
"156",8,2013,"ROB",31,31,31
"157",8,2014,"LOB",31,31,31
"158",8,2014,"MC",31,0,0
"159",8,2014,"ROB",31,31,31
"160",8,2015,"LOB",31,31,31
"161",8,2015,"MC",31,0,0
"162",8,2015,"ROB",31,31,31
"163",8,2016,"LOB",31,31,31
"164",8,2016,"MC",31,0,0
"165",8,2016,"ROB",31,31,31
"166",8,2017,"LOB",31,31,31
"167",8,2017,"MC",31,1,0
"168",8,2017,"ROB",31,31,31
"169",9,2011,"LOB",30,30,30
"170",9,2011,"MC",30,2,0
"171",9,2011,"ROB",30,30,30
"172",9,2012,"LOB",30,30,30
"173",9,2012,"MC",30,0,0
"174",9,2012,"ROB",30,30,30
"175",9,2013,"LOB",30,30,30
"176",9,2013,"MC",30,0,0
"177",9,2013,"ROB",30,30,30
"178",9,2014,"LOB",30,30,30
"179",9,2014,"MC",30,0,0
"180",9,2014,"ROB",30,30,30
"181",9,2015,"LOB",30,30,30
"182",9,2015,"MC",30,0,0
"183",9,2015,"ROB",30,30,30
"184",9,2016,"LOB",30,30,30
"185",9,2016,"MC",30,0,0
"186",9,2016,"ROB",30,30,30
"187",9,2017,"LOB",30,30,30
"188",9,2017,"MC",30,1,0
"189",9,2017,"ROB",30,30,30
"190",10,2010,"LOB",31,31,31
"191",10,2010,"MC",35,0,0
"192",10,2010,"ROB",31,31,31
"193",10,2011,"LOB",31,31,31
"194",10,2011,"MC",32,0,0
"195",10,2011,"ROB",31,31,31
"196",10,2012,"LOB",31,31,31
"197",10,2012,"MC",32,2,0
"198",10,2012,"ROB",31,31,31
"199",10,2013,"LOB",31,31,31
"200",10,2013,"MC",32,2,0
"201",10,2013,"ROB",31,31,31
"202",10,2014,"LOB",31,31,31
"203",10,2014,"MC",31,8,0
"204",10,2014,"ROB",31,31,31
"205",10,2015,"LOB",31,31,31
"206",10,2015,"MC",33,1,0
"207",10,2015,"ROB",31,31,31
"208",10,2016,"LOB",31,31,31
"209",10,2016,"MC",33,0,0
"210",10,2016,"ROB",31,31,31
"211",11,2010,"LOB",30,30,30
"212",11,2010,"MC",31,0,0
"213",11,2010,"ROB",30,30,30
"214",11,2011,"LOB",30,30,31
"215",11,2011,"MC",38,0,0
"216",11,2011,"ROB",30,30,30
"217",11,2012,"LOB",30,30,30
"218",11,2012,"MC",30,0,0
"219",11,2012,"ROB",30,30,30
"220",11,2013,"LOB",30,30,30
"221",11,2013,"MC",31,0,0
"222",11,2013,"ROB",30,30,30
"223",11,2014,"LOB",30,30,30
"224",11,2014,"MC",30,0,0
"225",11,2014,"ROB",30,30,30
"226",11,2015,"LOB",30,30,30
"227",11,2015,"MC",31,0,0
"228",11,2015,"ROB",30,30,30
"229",11,2016,"LOB",30,30,30
"230",11,2016,"MC",32,0,0
"231",11,2016,"ROB",30,30,30
"232",12,2010,"LOB",31,31,31
"233",12,2010,"MC",28,0,0
"234",12,2010,"ROB",31,31,31
"235",12,2011,"LOB",31,31,31
"236",12,2011,"MC",33,0,0
"237",12,2011,"ROB",31,31,31
"238",12,2012,"LOB",31,31,31
"239",12,2012,"MC",35,0,0
"240",12,2012,"ROB",31,31,31
"241",12,2013,"LOB",31,31,31
"242",12,2013,"MC",33,0,0
"243",12,2013,"ROB",31,31,31
"244",12,2014,"LOB",31,32,33
"245",12,2014,"MC",33,0,0
"246",12,2014,"ROB",31,31,31
"247",12,2015,"LOB",31,31,31
"248",12,2015,"MC",35,9,0
"249",12,2015,"ROB",31,31,31
"250",12,2016,"LOB",31,31,31
"251",12,2016,"MC",34,2,0
"252",12,2016,"ROB",31,31,31
