"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"LOB",31,32,4
"2",1,2011,"MC",32,33,0
"3",1,2011,"ROB",31,32,4
"4",1,2012,"LOB",31,33,21
"5",1,2012,"MC",33,33,0
"6",1,2012,"ROB",31,33,22
"7",1,2013,"LOB",31,33,0
"8",1,2013,"MC",32,34,0
"9",1,2013,"ROB",31,33,0
"10",1,2014,"LOB",31,31,36
"11",1,2014,"MC",31,31,0
"12",1,2014,"ROB",31,31,37
"13",1,2015,"LOB",31,31,16
"14",1,2015,"MC",31,32,0
"15",1,2015,"ROB",31,31,15
"16",1,2016,"LOB",35,34,37
"17",1,2016,"MC",35,35,21
"18",1,2016,"ROB",35,34,37
"19",1,2017,"LOB",35,38,21
"20",1,2017,"MC",36,39,20
"21",1,2017,"ROB",35,38,21
"22",2,2011,"LOB",29,30,5
"23",2,2011,"MC",31,28,0
"24",2,2011,"ROB",29,30,3
"25",2,2012,"LOB",29,29,33
"26",2,2012,"MC",29,29,2
"27",2,2012,"ROB",29,29,33
"28",2,2013,"LOB",28,29,18
"29",2,2013,"MC",28,30,1
"30",2,2013,"ROB",28,29,17
"31",2,2014,"LOB",31,29,17
"32",2,2014,"MC",31,28,0
"33",2,2014,"ROB",31,29,16
"34",2,2015,"LOB",28,29,39
"35",2,2015,"MC",29,30,5
"36",2,2015,"ROB",28,29,39
"37",2,2016,"LOB",29,31,41
"38",2,2016,"MC",30,30,27
"39",2,2016,"ROB",29,31,41
"40",2,2017,"LOB",29,34,0
"41",2,2017,"MC",32,33,0
"42",2,2017,"ROB",29,34,0
"43",3,2011,"LOB",32,31,4
"44",3,2011,"MC",33,32,0
"45",3,2011,"ROB",32,31,4
"46",3,2012,"LOB",33,33,35
"47",3,2012,"MC",33,33,31
"48",3,2012,"ROB",33,33,35
"49",3,2013,"LOB",31,31,29
"50",3,2013,"MC",31,31,2
"51",3,2013,"ROB",31,31,30
"52",3,2014,"LOB",31,33,36
"53",3,2014,"MC",32,32,19
"54",3,2014,"ROB",31,33,36
