"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"LOB",28,28,28
"2",1,2011,"MC",0,0,0
"3",1,2011,"ROB",31,28,28
"4",1,2012,"LOB",29,29,29
"5",1,2012,"MC",0,0,0
"6",1,2012,"ROB",29,29,29
"7",1,2013,"LOB",27,25,25
"8",1,2013,"MC",0,0,0
"9",1,2013,"ROB",30,28,26
"10",1,2014,"LOB",31,31,31
"11",1,2014,"MC",0,0,0
"12",1,2014,"ROB",31,31,31
"13",1,2015,"LOB",28,27,26
"14",1,2015,"MC",0,0,0
"15",1,2015,"ROB",31,28,27
"16",1,2016,"LOB",26,26,26
"17",1,2016,"MC",0,0,0
"18",1,2016,"ROB",28,26,26
"19",1,2017,"LOB",20,18,18
"20",1,2017,"MC",0,0,0
"21",1,2017,"ROB",26,20,19
"22",2,2011,"LOB",22,21,21
"23",2,2011,"MC",0,0,0
"24",2,2011,"ROB",25,23,21
"25",2,2012,"LOB",29,28,28
"26",2,2012,"MC",0,0,0
"27",2,2012,"ROB",29,29,28
"28",2,2013,"LOB",26,26,25
"29",2,2013,"MC",0,0,0
"30",2,2013,"ROB",28,26,26
"31",2,2014,"LOB",24,24,23
"32",2,2014,"MC",0,0,0
"33",2,2014,"ROB",26,24,24
"34",2,2015,"LOB",25,25,24
"35",2,2015,"MC",0,0,0
"36",2,2015,"ROB",28,26,25
"37",2,2016,"LOB",27,27,27
"38",2,2016,"MC",0,0,0
"39",2,2016,"ROB",28,27,27
"40",2,2017,"LOB",16,16,16
"41",2,2017,"MC",0,0,0
"42",2,2017,"ROB",25,19,16
"43",3,2011,"LOB",22,16,15
"44",3,2011,"MC",0,0,0
"45",3,2011,"ROB",27,22,18
"46",3,2012,"LOB",27,26,26
"47",3,2012,"MC",0,0,0
"48",3,2012,"ROB",29,27,26
"49",3,2013,"LOB",29,29,29
"50",3,2013,"MC",0,0,0
"51",3,2013,"ROB",30,29,29
"52",3,2014,"LOB",30,30,30
"53",3,2014,"MC",0,0,0
"54",3,2014,"ROB",30,30,30
"55",3,2015,"LOB",29,28,28
"56",3,2015,"MC",0,0,0
"57",3,2015,"ROB",31,29,28
"58",3,2016,"LOB",28,27,25
"59",3,2016,"MC",0,0,0
"60",3,2016,"ROB",28,28,28
"61",3,2017,"LOB",30,30,28
