"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"MC",32,1,0
"2",1,2012,"MC",33,31,0
"3",1,2013,"MC",35,7,0
"4",1,2014,"MC",31,36,0
"5",1,2015,"MC",32,45,0
"6",1,2016,"MC",33,39,0
"7",1,2017,"MC",34,23,0
"8",2,2011,"MC",30,6,0
"9",2,2012,"MC",30,17,0
"10",2,2013,"MC",30,24,0
"11",2,2014,"MC",27,42,0
"12",2,2015,"MC",40,38,0
"13",2,2016,"MC",29,32,0
"14",2,2017,"MC",32,4,0
"15",3,2011,"MC",25,1,0
"16",3,2012,"MC",31,12,0
"17",3,2013,"MC",31,35,0
"18",3,2014,"MC",35,34,0
"19",3,2015,"MC",32,29,0
"20",3,2016,"MC",41,36,0
"21",3,2017,"MC",35,20,0
"22",4,2011,"MC",30,9,0
"23",4,2012,"MC",31,25,0
"24",4,2013,"MC",31,37,0
"25",4,2014,"MC",31,52,0
"26",4,2015,"MC",32,35,0
"27",4,2016,"MC",32,35,0
"28",4,2017,"MC",30,33,0
"29",5,2011,"MC",32,32,0
"30",5,2012,"MC",31,28,0
"31",5,2013,"MC",34,48,0
"32",5,2014,"MC",40,40,0
"33",5,2015,"MC",33,35,0
"34",5,2016,"MC",31,44,0
"35",5,2017,"MC",32,37,0
"36",6,2011,"MC",30,28,0
"37",6,2012,"MC",30,45,0
"38",6,2013,"MC",30,42,0
"39",6,2014,"MC",30,30,0
"40",6,2015,"MC",36,36,0
"41",6,2016,"MC",30,48,0
"42",6,2017,"MC",30,31,0
"43",7,2011,"MC",31,58,0
"44",7,2012,"MC",31,43,0
"45",7,2013,"MC",33,50,0
"46",7,2014,"MC",31,32,0
"47",7,2015,"MC",33,45,0
"48",7,2016,"MC",36,42,0
"49",7,2017,"MC",31,32,0
"50",8,2011,"MC",31,63,0
"51",8,2012,"MC",31,37,0
"52",8,2013,"MC",33,42,0
"53",8,2014,"MC",31,32,0
"54",8,2015,"MC",31,46,0
"55",8,2016,"MC",40,49,0
"56",8,2017,"MC",31,31,0
"57",9,2011,"MC",30,55,0
"58",9,2012,"MC",30,30,0
"59",9,2013,"MC",38,38,0
"60",9,2014,"MC",30,37,0
"61",9,2015,"MC",31,48,0
"62",9,2016,"MC",30,31,0
"63",9,2017,"MC",30,33,0
"64",10,2010,"MC",37,19,0
"65",10,2011,"MC",32,26,0
"66",10,2012,"MC",41,43,0
"67",10,2013,"MC",17,15,0
"68",10,2014,"MC",35,40,0
"69",10,2015,"MC",35,32,0
"70",10,2016,"MC",34,45,0
"71",11,2010,"MC",31,12,0
"72",11,2011,"MC",33,0,0
"73",11,2012,"MC",32,20,0
"74",11,2013,"MC",34,32,0
"75",11,2014,"MC",30,56,0
"76",11,2015,"MC",42,43,0
"77",11,2016,"MC",33,16,0
"78",12,2010,"MC",23,0,0
"79",12,2011,"MC",33,7,0
"80",12,2012,"MC",37,3,0
"81",12,2013,"MC",45,47,0
"82",12,2014,"MC",32,29,0
"83",12,2015,"MC",38,34,0
"84",12,2016,"MC",46,46,0
