"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",96.7829632985954
"2",2011,"non_critical","MC","Low",99.5776255707762
"3",2011,"critical","MC","Low",99.5776255707762
"4",2012,"non_critical","MC","Low",99.8747723132969
"5",2012,"critical","MC","Low",99.8747723132969
"6",2013,"non_critical","MC","Low",99.9543378995434
"7",2013,"critical","MC","Low",99.9543378995434
"8",2014,"non_critical","MC","Low",99.703196347032
"9",2014,"critical","MC","Low",99.703196347032
"10",2015,"non_critical","MC","Low",100
"11",2015,"critical","MC","Low",100
"12",2016,"non_critical","MC","Low",99.6812386156649
"13",2016,"critical","MC","Low",99.6812386156649
"14",2017,"non_critical","MC","Low",99.2216117216117
"15",2017,"critical","MC","Low",99.2216117216117
"16",2010,"non_critical","MC","Medium",74.626189397372
"17",2011,"non_critical","MC","Medium",61.9977168949772
"18",2011,"critical","MC","Medium",61.9977168949772
"19",2012,"non_critical","MC","Medium",43.6247723132969
"20",2012,"critical","MC","Medium",43.6247723132969
"21",2013,"non_critical","MC","Medium",56.324200913242
"22",2013,"critical","MC","Medium",56.324200913242
"23",2014,"non_critical","MC","Medium",10.6278538812785
"24",2014,"critical","MC","Medium",10.6278538812785
"25",2015,"non_critical","MC","Medium",9.12100456621005
"26",2015,"critical","MC","Medium",9.12100456621005
"27",2016,"non_critical","MC","Medium",18.2149362477231
"28",2016,"critical","MC","Medium",18.2149362477231
"29",2017,"non_critical","MC","Medium",48.0311355311355
"30",2017,"critical","MC","Medium",48.0311355311355
"31",2010,"non_critical","MC","High",7.24966017217943
"32",2011,"non_critical","MC","High",2.48858447488584
"33",2011,"critical","MC","High",2.48858447488584
"34",2012,"non_critical","MC","High",2.23132969034608
"35",2012,"critical","MC","High",2.23132969034608
"36",2013,"non_critical","MC","High",1.00456621004566
"37",2013,"critical","MC","High",1.00456621004566
"38",2014,"non_critical","MC","High",1.56392694063927
"39",2014,"critical","MC","High",1.56392694063927
"40",2015,"non_critical","MC","High",1.25570776255708
"41",2015,"critical","MC","High",1.25570776255708
"42",2016,"non_critical","MC","High",1.92395264116576
"43",2016,"critical","MC","High",1.92395264116576
"44",2017,"non_critical","MC","High",2.96092796092796
"45",2017,"critical","MC","High",2.96092796092796
"46",2010,"non_critical","MC","Low.Seasonal",96.7829632985954
"47",2011,"non_critical","MC","Low.Seasonal",99.1529304029304
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",99.8178506375228
"50",2012,"critical","MC","Low.Seasonal",99.931693989071
"51",2013,"non_critical","MC","Low.Seasonal",99.9084249084249
"52",2013,"critical","MC","Low.Seasonal",100
"53",2014,"non_critical","MC","Low.Seasonal",99.4047619047619
"54",2014,"critical","MC","Low.Seasonal",100
"55",2015,"non_critical","MC","Low.Seasonal",100
"56",2015,"critical","MC","Low.Seasonal",100
"57",2016,"non_critical","MC","Low.Seasonal",99.3624772313297
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",97.6388888888889
"60",2017,"critical","MC","Low.Seasonal",100
"61",2010,"non_critical","MC","Medium.Seasonal",74.626189397372
"62",2011,"non_critical","MC","Medium.Seasonal",89.9267399267399
"63",2011,"critical","MC","Medium.Seasonal",34.2213114754098
"64",2012,"non_critical","MC","Medium.Seasonal",63.1147540983607
"65",2012,"critical","MC","Medium.Seasonal",24.1347905282332
"66",2013,"non_critical","MC","Medium.Seasonal",53.021978021978
"67",2013,"critical","MC","Medium.Seasonal",59.608378870674
"68",2014,"non_critical","MC","Medium.Seasonal",19.3910256410256
"69",2014,"critical","MC","Medium.Seasonal",1.91256830601093
"70",2015,"non_critical","MC","Medium.Seasonal",13.507326007326
"71",2015,"critical","MC","Medium.Seasonal",4.75865209471767
"72",2016,"non_critical","MC","Medium.Seasonal",32.5591985428051
"73",2016,"critical","MC","Medium.Seasonal",3.87067395264117
"74",2017,"non_critical","MC","Medium.Seasonal",68.8425925925926
"75",2017,"critical","MC","Medium.Seasonal",37.7959927140255
"76",2010,"non_critical","MC","High.Seasonal",7.24966017217943
"77",2011,"non_critical","MC","High.Seasonal",4.60164835164835
"78",2011,"critical","MC","High.Seasonal",0.387067395264117
"79",2012,"non_critical","MC","High.Seasonal",3.73406193078324
"80",2012,"critical","MC","High.Seasonal",0.728597449908925
"81",2013,"non_critical","MC","High.Seasonal",1.64835164835165
"82",2013,"critical","MC","High.Seasonal",0.364298724954463
"83",2014,"non_critical","MC","High.Seasonal",3.02197802197802
"84",2014,"critical","MC","High.Seasonal",0.11384335154827
"85",2015,"non_critical","MC","High.Seasonal",2.15201465201465
"86",2015,"critical","MC","High.Seasonal",0.364298724954463
"87",2016,"non_critical","MC","High.Seasonal",3.43806921675774
"88",2016,"critical","MC","High.Seasonal",0.409836065573771
"89",2017,"non_critical","MC","High.Seasonal",8.65740740740741
"90",2017,"critical","MC","High.Seasonal",0.159380692167577
