"","month_year","year","month","season","position","Probability_Threshold","n_days"
"1",2011-01-01,2011,1,"non_critical","LOB","Low",34
"2",2011-01-01,2011,1,"non_critical","MC","Low",0
"3",2011-01-01,2011,1,"non_critical","ROB","Low",32
"4",2012-01-01,2012,1,"non_critical","LOB","Low",33
"5",2012-01-01,2012,1,"non_critical","MC","Low",0
"6",2012-01-01,2012,1,"non_critical","ROB","Low",33
"7",2013-01-01,2013,1,"non_critical","LOB","Low",33
"8",2013-01-01,2013,1,"non_critical","MC","Low",0
"9",2013-01-01,2013,1,"non_critical","ROB","Low",32
"10",2014-01-01,2014,1,"non_critical","LOB","Low",31
"11",2014-01-01,2014,1,"non_critical","MC","Low",0
"12",2014-01-01,2014,1,"non_critical","ROB","Low",31
"13",2015-01-01,2015,1,"non_critical","LOB","Low",32
"14",2015-01-01,2015,1,"non_critical","MC","Low",0
"15",2015-01-01,2015,1,"non_critical","ROB","Low",31
"16",2016-01-01,2016,1,"non_critical","LOB","Low",35
"17",2016-01-01,2016,1,"non_critical","MC","Low",4
"18",2016-01-01,2016,1,"non_critical","ROB","Low",35
"19",2017-01-01,2017,1,"non_critical","LOB","Low",38
"20",2017-01-01,2017,1,"non_critical","MC","Low",0
"21",2017-01-01,2017,1,"non_critical","ROB","Low",40
"22",2011-02-01,2011,2,"non_critical","LOB","Low",28
"23",2011-02-01,2011,2,"non_critical","MC","Low",0
"24",2011-02-01,2011,2,"non_critical","ROB","Low",29
"25",2012-02-01,2012,2,"non_critical","LOB","Low",29
"26",2012-02-01,2012,2,"non_critical","MC","Low",0
"27",2012-02-01,2012,2,"non_critical","ROB","Low",29
"28",2013-02-01,2013,2,"non_critical","LOB","Low",30
"29",2013-02-01,2013,2,"non_critical","MC","Low",0
"30",2013-02-01,2013,2,"non_critical","ROB","Low",28
"31",2014-02-01,2014,2,"non_critical","LOB","Low",28
"32",2014-02-01,2014,2,"non_critical","MC","Low",0
"33",2014-02-01,2014,2,"non_critical","ROB","Low",30
"34",2015-02-01,2015,2,"non_critical","LOB","Low",29
"35",2015-02-01,2015,2,"non_critical","MC","Low",1
"36",2015-02-01,2015,2,"non_critical","ROB","Low",28
"37",2016-02-01,2016,2,"non_critical","LOB","Low",30
"38",2016-02-01,2016,2,"non_critical","MC","Low",2
"39",2016-02-01,2016,2,"non_critical","ROB","Low",30
"40",2017-02-01,2017,2,"non_critical","LOB","Low",36
"41",2017-02-01,2017,2,"non_critical","MC","Low",0
"42",2017-02-01,2017,2,"non_critical","ROB","Low",30
"43",2011-03-01,2011,3,"non_critical","LOB","Low",32
"44",2011-03-01,2011,3,"non_critical","MC","Low",0
"45",2011-03-01,2011,3,"non_critical","ROB","Low",32
"46",2012-03-01,2012,3,"non_critical","LOB","Low",32
"47",2012-03-01,2012,3,"non_critical","MC","Low",2
"48",2012-03-01,2012,3,"non_critical","ROB","Low",33
"49",2013-03-01,2013,3,"non_critical","LOB","Low",31
"50",2013-03-01,2013,3,"non_critical","MC","Low",0
"51",2013-03-01,2013,3,"non_critical","ROB","Low",31
"52",2014-03-01,2014,3,"non_critical","LOB","Low",31
"53",2014-03-01,2014,3,"non_critical","MC","Low",0
"54",2014-03-01,2014,3,"non_critical","ROB","Low",32
"55",2015-03-01,2015,3,"non_critical","LOB","Low",32
"56",2015-03-01,2015,3,"non_critical","MC","Low",0
"57",2015-03-01,2015,3,"non_critical","ROB","Low",32
"58",2016-03-01,2016,3,"non_critical","LOB","Low",33
"59",2016-03-01,2016,3,"non_critical","MC","Low",4
"60",2016-03-01,2016,3,"non_critical","ROB","Low",34
"61",2017-03-01,2017,3,"non_critical","LOB","Low",32
"62",2017-03-01,2017,3,"non_critical","MC","Low",0
"63",2017-03-01,2017,3,"non_critical","ROB","Low",31
"64",2011-04-01,2011,4,"critical","LOB","Low",30
"65",2011-04-01,2011,4,"critical","MC","Low",1
"66",2011-04-01,2011,4,"critical","ROB","Low",30
"67",2012-04-01,2012,4,"critical","LOB","Low",32
"68",2012-04-01,2012,4,"critical","MC","Low",3
"69",2012-04-01,2012,4,"critical","ROB","Low",31
"70",2013-04-01,2013,4,"critical","LOB","Low",30
"71",2013-04-01,2013,4,"critical","MC","Low",0
"72",2013-04-01,2013,4,"critical","ROB","Low",30
"73",2014-04-01,2014,4,"critical","LOB","Low",30
"74",2014-04-01,2014,4,"critical","MC","Low",2
"75",2014-04-01,2014,4,"critical","ROB","Low",30
"76",2015-04-01,2015,4,"critical","LOB","Low",31
"77",2015-04-01,2015,4,"critical","MC","Low",16
"78",2015-04-01,2015,4,"critical","ROB","Low",30
"79",2016-04-01,2016,4,"critical","LOB","Low",34
"80",2016-04-01,2016,4,"critical","MC","Low",7
"81",2016-04-01,2016,4,"critical","ROB","Low",30
"82",2017-04-01,2017,4,"critical","LOB","Low",30
"83",2017-04-01,2017,4,"critical","MC","Low",10
"84",2017-04-01,2017,4,"critical","ROB","Low",30
"85",2011-05-01,2011,5,"critical","LOB","Low",33
"86",2011-05-01,2011,5,"critical","MC","Low",1
"87",2011-05-01,2011,5,"critical","ROB","Low",31
"88",2012-05-01,2012,5,"critical","LOB","Low",31
"89",2012-05-01,2012,5,"critical","MC","Low",0
"90",2012-05-01,2012,5,"critical","ROB","Low",31
"91",2013-05-01,2013,5,"critical","LOB","Low",32
"92",2013-05-01,2013,5,"critical","MC","Low",0
"93",2013-05-01,2013,5,"critical","ROB","Low",31
"94",2014-05-01,2014,5,"critical","LOB","Low",31
"95",2014-05-01,2014,5,"critical","MC","Low",4
"96",2014-05-01,2014,5,"critical","ROB","Low",31
"97",2015-05-01,2015,5,"critical","LOB","Low",32
"98",2015-05-01,2015,5,"critical","MC","Low",10
"99",2015-05-01,2015,5,"critical","ROB","Low",32
"100",2016-05-01,2016,5,"critical","LOB","Low",33
"101",2016-05-01,2016,5,"critical","MC","Low",17
"102",2016-05-01,2016,5,"critical","ROB","Low",31
"103",2017-05-01,2017,5,"critical","LOB","Low",32
"104",2017-05-01,2017,5,"critical","MC","Low",17
"105",2017-05-01,2017,5,"critical","ROB","Low",31
"106",2011-06-01,2011,6,"critical","LOB","Low",30
"107",2011-06-01,2011,6,"critical","MC","Low",0
"108",2011-06-01,2011,6,"critical","ROB","Low",30
"109",2012-06-01,2012,6,"critical","LOB","Low",30
"110",2012-06-01,2012,6,"critical","MC","Low",1
"111",2012-06-01,2012,6,"critical","ROB","Low",30
"112",2013-06-01,2013,6,"critical","LOB","Low",30
"113",2013-06-01,2013,6,"critical","MC","Low",0
"114",2013-06-01,2013,6,"critical","ROB","Low",30
"115",2014-06-01,2014,6,"critical","LOB","Low",30
"116",2014-06-01,2014,6,"critical","MC","Low",0
"117",2014-06-01,2014,6,"critical","ROB","Low",30
"118",2015-06-01,2015,6,"critical","LOB","Low",30
"119",2015-06-01,2015,6,"critical","MC","Low",1
"120",2015-06-01,2015,6,"critical","ROB","Low",30
"121",2016-06-01,2016,6,"critical","LOB","Low",30
"122",2016-06-01,2016,6,"critical","MC","Low",30
"123",2016-06-01,2016,6,"critical","ROB","Low",30
"124",2017-06-01,2017,6,"critical","LOB","Low",30
"125",2017-06-01,2017,6,"critical","MC","Low",30
"126",2017-06-01,2017,6,"critical","ROB","Low",30
"127",2011-07-01,2011,7,"critical","LOB","Low",31
"128",2011-07-01,2011,7,"critical","MC","Low",1
"129",2011-07-01,2011,7,"critical","ROB","Low",31
"130",2012-07-01,2012,7,"critical","LOB","Low",31
"131",2012-07-01,2012,7,"critical","MC","Low",0
"132",2012-07-01,2012,7,"critical","ROB","Low",31
"133",2013-07-01,2013,7,"critical","LOB","Low",31
"134",2013-07-01,2013,7,"critical","MC","Low",0
"135",2013-07-01,2013,7,"critical","ROB","Low",31
"136",2014-07-01,2014,7,"critical","LOB","Low",31
"137",2014-07-01,2014,7,"critical","MC","Low",0
"138",2014-07-01,2014,7,"critical","ROB","Low",31
"139",2015-07-01,2015,7,"critical","LOB","Low",31
"140",2015-07-01,2015,7,"critical","MC","Low",6
"141",2015-07-01,2015,7,"critical","ROB","Low",31
"142",2016-07-01,2016,7,"critical","LOB","Low",31
"143",2016-07-01,2016,7,"critical","MC","Low",31
"144",2016-07-01,2016,7,"critical","ROB","Low",31
"145",2017-07-01,2017,7,"critical","LOB","Low",31
"146",2017-07-01,2017,7,"critical","MC","Low",32
"147",2017-07-01,2017,7,"critical","ROB","Low",31
"148",2011-08-01,2011,8,"critical","LOB","Low",31
"149",2011-08-01,2011,8,"critical","MC","Low",0
"150",2011-08-01,2011,8,"critical","ROB","Low",31
"151",2012-08-01,2012,8,"critical","LOB","Low",31
"152",2012-08-01,2012,8,"critical","MC","Low",0
"153",2012-08-01,2012,8,"critical","ROB","Low",31
"154",2013-08-01,2013,8,"critical","LOB","Low",31
"155",2013-08-01,2013,8,"critical","MC","Low",0
"156",2013-08-01,2013,8,"critical","ROB","Low",31
"157",2014-08-01,2014,8,"critical","LOB","Low",31
"158",2014-08-01,2014,8,"critical","MC","Low",0
"159",2014-08-01,2014,8,"critical","ROB","Low",31
"160",2015-08-01,2015,8,"critical","LOB","Low",31
"161",2015-08-01,2015,8,"critical","MC","Low",10
"162",2015-08-01,2015,8,"critical","ROB","Low",31
"163",2016-08-01,2016,8,"critical","LOB","Low",31
"164",2016-08-01,2016,8,"critical","MC","Low",31
"165",2016-08-01,2016,8,"critical","ROB","Low",31
"166",2017-08-01,2017,8,"critical","LOB","Low",31
"167",2017-08-01,2017,8,"critical","MC","Low",31
"168",2017-08-01,2017,8,"critical","ROB","Low",31
"169",2011-09-01,2011,9,"critical","LOB","Low",30
"170",2011-09-01,2011,9,"critical","MC","Low",0
"171",2011-09-01,2011,9,"critical","ROB","Low",30
"172",2012-09-01,2012,9,"critical","LOB","Low",30
"173",2012-09-01,2012,9,"critical","MC","Low",0
"174",2012-09-01,2012,9,"critical","ROB","Low",30
"175",2013-09-01,2013,9,"critical","LOB","Low",30
"176",2013-09-01,2013,9,"critical","MC","Low",0
"177",2013-09-01,2013,9,"critical","ROB","Low",30
"178",2014-09-01,2014,9,"critical","LOB","Low",30
"179",2014-09-01,2014,9,"critical","MC","Low",0
"180",2014-09-01,2014,9,"critical","ROB","Low",30
"181",2015-09-01,2015,9,"critical","LOB","Low",31
"182",2015-09-01,2015,9,"critical","MC","Low",2
"183",2015-09-01,2015,9,"critical","ROB","Low",30
"184",2016-09-01,2016,9,"critical","LOB","Low",30
"185",2016-09-01,2016,9,"critical","MC","Low",37
"186",2016-09-01,2016,9,"critical","ROB","Low",30
"187",2017-09-01,2017,9,"critical","LOB","Low",30
"188",2017-09-01,2017,9,"critical","MC","Low",16
"189",2017-09-01,2017,9,"critical","ROB","Low",30
"190",2010-10-01,2010,10,"non_critical","LOB","Low",34
"191",2010-10-01,2010,10,"non_critical","MC","Low",1
"192",2010-10-01,2010,10,"non_critical","ROB","Low",33
"193",2011-10-01,2011,10,"non_critical","LOB","Low",32
"194",2011-10-01,2011,10,"non_critical","MC","Low",2
"195",2011-10-01,2011,10,"non_critical","ROB","Low",32
"196",2012-10-01,2012,10,"non_critical","LOB","Low",32
"197",2012-10-01,2012,10,"non_critical","MC","Low",3
"198",2012-10-01,2012,10,"non_critical","ROB","Low",31
"199",2013-10-01,2013,10,"non_critical","LOB","Low",31
"200",2013-10-01,2013,10,"non_critical","MC","Low",0
"201",2013-10-01,2013,10,"non_critical","ROB","Low",31
"202",2014-10-01,2014,10,"non_critical","LOB","Low",31
"203",2014-10-01,2014,10,"non_critical","MC","Low",21
"204",2014-10-01,2014,10,"non_critical","ROB","Low",31
"205",2015-10-01,2015,10,"non_critical","LOB","Low",33
"206",2015-10-01,2015,10,"non_critical","MC","Low",10
"207",2015-10-01,2015,10,"non_critical","ROB","Low",31
"208",2016-10-01,2016,10,"non_critical","LOB","Low",34
"209",2016-10-01,2016,10,"non_critical","MC","Low",22
"210",2016-10-01,2016,10,"non_critical","ROB","Low",31
"211",2010-11-01,2010,11,"non_critical","LOB","Low",32
"212",2010-11-01,2010,11,"non_critical","MC","Low",0
"213",2010-11-01,2010,11,"non_critical","ROB","Low",31
"214",2011-11-01,2011,11,"non_critical","LOB","Low",35
"215",2011-11-01,2011,11,"non_critical","MC","Low",0
"216",2011-11-01,2011,11,"non_critical","ROB","Low",32
"217",2012-11-01,2012,11,"non_critical","LOB","Low",31
"218",2012-11-01,2012,11,"non_critical","MC","Low",0
"219",2012-11-01,2012,11,"non_critical","ROB","Low",30
"220",2013-11-01,2013,11,"non_critical","LOB","Low",31
"221",2013-11-01,2013,11,"non_critical","MC","Low",0
"222",2013-11-01,2013,11,"non_critical","ROB","Low",30
"223",2014-11-01,2014,11,"non_critical","LOB","Low",31
"224",2014-11-01,2014,11,"non_critical","MC","Low",0
"225",2014-11-01,2014,11,"non_critical","ROB","Low",31
"226",2015-11-01,2015,11,"non_critical","LOB","Low",30
"227",2015-11-01,2015,11,"non_critical","MC","Low",30
"228",2015-11-01,2015,11,"non_critical","ROB","Low",30
"229",2016-11-01,2016,11,"non_critical","LOB","Low",31
"230",2016-11-01,2016,11,"non_critical","MC","Low",6
"231",2016-11-01,2016,11,"non_critical","ROB","Low",30
"232",2010-12-01,2010,12,"non_critical","LOB","Low",28
"233",2010-12-01,2010,12,"non_critical","MC","Low",0
"234",2010-12-01,2010,12,"non_critical","ROB","Low",34
"235",2011-12-01,2011,12,"non_critical","LOB","Low",33
"236",2011-12-01,2011,12,"non_critical","MC","Low",0
"237",2011-12-01,2011,12,"non_critical","ROB","Low",32
"238",2012-12-01,2012,12,"non_critical","LOB","Low",34
"239",2012-12-01,2012,12,"non_critical","MC","Low",0
"240",2012-12-01,2012,12,"non_critical","ROB","Low",31
"241",2013-12-01,2013,12,"non_critical","LOB","Low",33
"242",2013-12-01,2013,12,"non_critical","MC","Low",0
"243",2013-12-01,2013,12,"non_critical","ROB","Low",31
"244",2014-12-01,2014,12,"non_critical","LOB","Low",34
"245",2014-12-01,2014,12,"non_critical","MC","Low",0
"246",2014-12-01,2014,12,"non_critical","ROB","Low",33
"247",2015-12-01,2015,12,"non_critical","LOB","Low",33
"248",2015-12-01,2015,12,"non_critical","MC","Low",32
"249",2015-12-01,2015,12,"non_critical","ROB","Low",33
"250",2016-12-01,2016,12,"non_critical","LOB","Low",33
"251",2016-12-01,2016,12,"non_critical","MC","Low",10
"252",2016-12-01,2016,12,"non_critical","ROB","Low",31
"253",2011-01-01,2011,1,"non_critical","LOB","Medium",33
"254",2011-01-01,2011,1,"non_critical","MC","Medium",0
"255",2011-01-01,2011,1,"non_critical","ROB","Medium",34
"256",2012-01-01,2012,1,"non_critical","LOB","Medium",33
"257",2012-01-01,2012,1,"non_critical","MC","Medium",0
"258",2012-01-01,2012,1,"non_critical","ROB","Medium",33
"259",2013-01-01,2013,1,"non_critical","LOB","Medium",37
"260",2013-01-01,2013,1,"non_critical","MC","Medium",0
"261",2013-01-01,2013,1,"non_critical","ROB","Medium",33
"262",2014-01-01,2014,1,"non_critical","LOB","Medium",31
"263",2014-01-01,2014,1,"non_critical","MC","Medium",0
"264",2014-01-01,2014,1,"non_critical","ROB","Medium",31
"265",2015-01-01,2015,1,"non_critical","LOB","Medium",32
"266",2015-01-01,2015,1,"non_critical","MC","Medium",0
"267",2015-01-01,2015,1,"non_critical","ROB","Medium",32
"268",2016-01-01,2016,1,"non_critical","LOB","Medium",35
"269",2016-01-01,2016,1,"non_critical","MC","Medium",0
"270",2016-01-01,2016,1,"non_critical","ROB","Medium",35
"271",2017-01-01,2017,1,"non_critical","LOB","Medium",36
"272",2017-01-01,2017,1,"non_critical","MC","Medium",0
