"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"LOB",0,32,31
"2",1,2011,"MC",0,30,21
"3",1,2011,"ROB",0,0,31
"4",1,2012,"LOB",0,34,32
"5",1,2012,"MC",0,30,25
"6",1,2012,"ROB",0,0,31
"7",1,2013,"LOB",0,34,35
"8",1,2013,"MC",0,28,17
"9",1,2013,"ROB",0,0,29
"10",1,2014,"LOB",0,31,31
"11",1,2014,"MC",0,31,31
"12",1,2014,"ROB",0,0,31
"13",1,2015,"LOB",0,31,31
"14",1,2015,"MC",0,29,18
"15",1,2015,"ROB",0,0,30
"16",1,2016,"LOB",0,33,32
"17",1,2016,"MC",0,32,21
"18",1,2016,"ROB",0,0,29
"19",1,2017,"LOB",0,41,33
"20",1,2017,"MC",0,25,5
"21",1,2017,"ROB",0,0,28
"22",2,2011,"LOB",0,30,29
"23",2,2011,"MC",0,26,13
"24",2,2011,"ROB",0,0,25
"25",2,2012,"LOB",0,29,29
"26",2,2012,"MC",0,29,26
"27",2,2012,"ROB",0,0,29
"28",2,2013,"LOB",0,29,29
"29",2,2013,"MC",0,27,20
"30",2,2013,"ROB",0,0,28
"31",2,2014,"LOB",0,30,27
"32",2,2014,"MC",0,28,18
"33",2,2014,"ROB",0,0,28
"34",2,2015,"LOB",0,28,28
"35",2,2015,"MC",0,27,21
"36",2,2015,"ROB",0,0,27
"37",2,2016,"LOB",0,30,29
"38",2,2016,"MC",0,29,21
"39",2,2016,"ROB",0,0,28
"40",2,2017,"LOB",0,33,29
"41",2,2017,"MC",0,23,10
"42",2,2017,"ROB",0,0,29
"43",3,2011,"LOB",0,33,31
"44",3,2011,"MC",0,26,13
"45",3,2011,"ROB",0,0,29
"46",3,2012,"LOB",0,32,31
"47",3,2012,"MC",0,30,23
"48",3,2012,"ROB",0,0,30
"49",3,2013,"LOB",0,31,31
"50",3,2013,"MC",0,30,27
"51",3,2013,"ROB",0,0,30
"52",3,2014,"LOB",0,32,31
"53",3,2014,"MC",0,30,26
"54",3,2014,"ROB",0,0,29
"55",3,2015,"LOB",0,32,31
"56",3,2015,"MC",0,30,26
"57",3,2015,"ROB",0,0,30
"58",3,2016,"LOB",0,34,33
"59",3,2016,"MC",0,32,22
"60",3,2016,"ROB",0,0,30
"61",3,2017,"LOB",0,31,31
"62",3,2017,"MC",0,31,27
"63",3,2017,"ROB",0,0,31
"64",4,2011,"LOB",0,30,30
"65",4,2011,"MC",0,30,30
"66",4,2011,"ROB",0,0,30
"67",4,2012,"LOB",0,33,30
"68",4,2012,"MC",0,28,17
"69",4,2012,"ROB",0,0,28
"70",4,2013,"LOB",0,30,30
"71",4,2013,"MC",0,30,30
"72",4,2013,"ROB",0,0,30
"73",4,2014,"LOB",0,30,30
"74",4,2014,"MC",0,29,24
"75",4,2014,"ROB",0,0,29
"76",4,2015,"LOB",0,31,30
"77",4,2015,"MC",0,30,27
"78",4,2015,"ROB",0,0,30
"79",4,2016,"LOB",0,31,31
"80",4,2016,"MC",0,30,25
"81",4,2016,"ROB",0,0,29
"82",4,2017,"LOB",0,30,31
"83",4,2017,"MC",0,29,27
"84",4,2017,"ROB",0,0,30
"85",5,2011,"LOB",0,31,32
"86",5,2011,"MC",0,30,25
"87",5,2011,"ROB",0,0,30
"88",5,2012,"LOB",0,31,31
"89",5,2012,"MC",0,31,30
"90",5,2012,"ROB",0,0,31
"91",5,2013,"LOB",0,32,32
"92",5,2013,"MC",0,29,27
"93",5,2013,"ROB",0,0,31
"94",5,2014,"LOB",0,31,31
"95",5,2014,"MC",0,31,31
"96",5,2014,"ROB",0,0,31
"97",5,2015,"LOB",0,31,31
"98",5,2015,"MC",0,29,24
"99",5,2015,"ROB",0,0,29
"100",5,2016,"LOB",0,31,31
"101",5,2016,"MC",0,31,27
"102",5,2016,"ROB",0,0,32
"103",5,2017,"LOB",0,32,31
"104",5,2017,"MC",0,30,27
"105",5,2017,"ROB",0,0,31
"106",6,2011,"LOB",0,30,30
"107",6,2011,"MC",0,30,30
"108",6,2011,"ROB",0,0,30
"109",6,2012,"LOB",0,30,30
"110",6,2012,"MC",0,30,30
"111",6,2012,"ROB",0,0,30
"112",6,2013,"LOB",0,30,30
"113",6,2013,"MC",0,30,30
"114",6,2013,"ROB",0,0,30
"115",6,2014,"LOB",0,30,30
"116",6,2014,"MC",0,30,30
"117",6,2014,"ROB",0,0,30
"118",6,2015,"LOB",0,30,30
"119",6,2015,"MC",0,30,30
"120",6,2015,"ROB",0,0,30
"121",6,2016,"LOB",0,30,30
"122",6,2016,"MC",0,30,30
"123",6,2016,"ROB",0,0,30
"124",6,2017,"LOB",0,30,30
"125",6,2017,"MC",0,30,30
"126",6,2017,"ROB",0,0,30
"127",7,2011,"LOB",0,31,31
"128",7,2011,"MC",0,31,31
"129",7,2011,"ROB",0,0,31
"130",7,2012,"LOB",0,31,31
"131",7,2012,"MC",0,31,31
"132",7,2012,"ROB",0,0,31
"133",7,2013,"LOB",0,31,31
"134",7,2013,"MC",0,31,31
"135",7,2013,"ROB",0,0,31
"136",7,2014,"LOB",0,31,31
"137",7,2014,"MC",0,31,31
"138",7,2014,"ROB",0,0,31
"139",7,2015,"LOB",0,31,31
"140",7,2015,"MC",0,31,31
"141",7,2015,"ROB",0,0,31
"142",7,2016,"LOB",0,31,31
"143",7,2016,"MC",0,31,31
"144",7,2016,"ROB",0,0,31
"145",7,2017,"LOB",0,31,31
"146",7,2017,"MC",0,31,31
"147",7,2017,"ROB",0,0,31
"148",8,2011,"LOB",0,31,31
"149",8,2011,"MC",0,31,31
"150",8,2011,"ROB",0,0,31
"151",8,2012,"LOB",0,31,31
"152",8,2012,"MC",0,31,31
"153",8,2012,"ROB",0,0,31
"154",8,2013,"LOB",0,31,31
"155",8,2013,"MC",0,31,31
"156",8,2013,"ROB",0,0,31
"157",8,2014,"LOB",0,31,31
"158",8,2014,"MC",0,31,31
"159",8,2014,"ROB",0,0,31
"160",8,2015,"LOB",0,31,31
"161",8,2015,"MC",0,31,31
"162",8,2015,"ROB",0,0,31
"163",8,2016,"LOB",0,31,31
"164",8,2016,"MC",0,31,31
"165",8,2016,"ROB",0,0,31
"166",8,2017,"LOB",0,31,31
"167",8,2017,"MC",0,31,31
"168",8,2017,"ROB",0,0,31
"169",9,2011,"LOB",0,30,30
"170",9,2011,"MC",0,30,30
"171",9,2011,"ROB",0,0,30
"172",9,2012,"LOB",0,30,30
"173",9,2012,"MC",0,30,30
"174",9,2012,"ROB",0,0,30
"175",9,2013,"LOB",0,30,30
"176",9,2013,"MC",0,30,30
"177",9,2013,"ROB",0,0,30
"178",9,2014,"LOB",0,30,30
"179",9,2014,"MC",0,30,30
"180",9,2014,"ROB",0,0,30
"181",9,2015,"LOB",0,30,30
"182",9,2015,"MC",0,30,30
"183",9,2015,"ROB",0,0,30
"184",9,2016,"LOB",0,30,30
"185",9,2016,"MC",0,30,30
"186",9,2016,"ROB",0,0,30
"187",9,2017,"LOB",0,30,30
"188",9,2017,"MC",0,30,30
"189",9,2017,"ROB",0,0,30
"190",10,2010,"LOB",0,33,34
"191",10,2010,"MC",0,28,12
"192",10,2010,"ROB",0,0,29
"193",10,2011,"LOB",0,33,31
"194",10,2011,"MC",0,32,26
"195",10,2011,"ROB",0,0,32
"196",10,2012,"LOB",0,32,31
"197",10,2012,"MC",0,31,29
"198",10,2012,"ROB",0,0,31
"199",10,2013,"LOB",0,31,31
"200",10,2013,"MC",0,31,30
"201",10,2013,"ROB",0,0,31
"202",10,2014,"LOB",0,31,31
"203",10,2014,"MC",0,31,30
"204",10,2014,"ROB",0,0,31
"205",10,2015,"LOB",0,31,31
"206",10,2015,"MC",0,30,25
"207",10,2015,"ROB",0,0,32
"208",10,2016,"LOB",0,32,32
"209",10,2016,"MC",0,31,21
"210",10,2016,"ROB",0,0,32
"211",11,2010,"LOB",0,32,33
"212",11,2010,"MC",0,27,11
"213",11,2010,"ROB",0,0,28
"214",11,2011,"LOB",0,33,32
"215",11,2011,"MC",0,27,12
"216",11,2011,"ROB",0,0,30
