"","LOB","MC","ROB"
"Low_Prob_1",6545.99285742754,5090.33357233317,12447.9624220247
"Low_Prob_2",NA,NA,NA
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",5379.77601778208,75.5555347956151,1193.56997874037
"Med_Prob_2",NA,4196.02251577805,10979.4076410201
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",182.208163700069,468.182277221867,3063.1126796994
"High_Prob_2",454.199189981651,3029.41943361808,8942.24328233987
"High_Prob_3",589.877862775165,NA,NA
"High_Prob_4",3867.88486800332,NA,NA
